"Astrocyte_on","IT_on","L4.IT_on","L5.6.IT.Car3_on","L5.6.NP_on","L5.ET_on","L6.CT_on","L6b_on","LAMP5_on","Microglia_on","Oligodendrocyte_on","OPC_on","PAX6_on","PVALB_on","SST_on","VIP_on","Astro","GABAergic","Glutamatergic","Microglia","Non.neuronal","Olgio"
"QKI","PLCH1","ULK1","ANKFN1","XXYLT1","RNF114","XKR9","ST6GAL1","ADGRV1","ALG8","APPL1","SNX1","FEM1B","LOC105369208","HSPA5","PAAF1","LOC105377872","KLHL14","IL4R","LOC105375514","JMJD4","LOC105376596"
"PSMC2","TRMT10B","RTCB","CXXC4","SPATA5","RELN","CCBE1","FADS3","ID2","GMCL1","RPL10A","ABCC4","GDPD1","EPHB2","LRP8","LGALS8","DRAM1","LTK","SMOX","LOC105374615","LOC105378757","NFE2L3"
"SEC23A","GHR","SCYL3","PARM1","KLHL5","CCDC102B","ID2","DUT","RPL3","ATG9A","ATG5","ADARB2","RUSC1","PLCH1","ZNF146","CCNB1IP1","LOC102725045","FBLN7","NUDT2","TCP10L","MED29","BRI3"
"SLC1A2","ADAM17","UBE2G1","THSD7B","SEPT4","PELI2","PDZRN4","TCTEX1D2","ST6GALNAC3","COPG1","PXYLP1","ANP32A","PXDNL","SLC1A2","LAMP2","APIP","LOC102723755","LINC01511","CCDC168","ABCG1","LOC105377794","ABCC4"
"ZBTB20","TOMM70A","QSER1","GNG12.AS1","KLHDC1","ZNF182","SNX1","PDZRN4","PRPF18","QSER1","STRAP","ABLIM3","LOC101929563","EPHA6","FAM134A","FAM118A","LOC105374375","PANK3","ZNF217","TUBB6","CATSPER3","LOC102724715"
"HEATR5A","CLUAP1","LOC728392","PARP1","MTERF2","VIPAS39","PID1","USPL1","ST7L","MCUR1","SLC16A14","RGS12","GRSF1","TCEAL4","LINC01158","KIAA1211","LOC105375186","LOC105379106","CYBA","PAQR4","LOC105369363","ESRRB"
"C9orf85","TMEM126B","MIR7.3HG","UBA1","ARFIP1","RAD51B","SEC24D","RASGRP1","GABRA4","ABCG1","SLC9A6","SLC9A9","LOC730100","ILF3","GLIPR1","LOC105370737","IGFBP7","STRIP2","LOC105375369","ALG8","TRAM1L1","GXYLT2"
"FRYL","ITM2C","NIPSNAP1","ZFR2","FGD4","CKAP2","ANKRD30B","CREG1","SEC24D","NFIA","ATF4","ZNF536","RBMS1","PPARG","DENR","HNRNPH1","IFI27","MBIP","LOC105373546","KLF10","LOC105369199","LOC105375151"
"PLEKHH1","FBXO33","RNF138","HSPA13","GHR","ATN1","METAP1","CPNE5","TMEM245","LOC101928678","COG1","LINC00476","DAP3","RHOT2","GSAP","ANAPC4","CHST3","RBM17P4","LOC100419870","LOC101927211","C5","SPTLC3"
"RMND1","COMMD7","DHX15","LEPROTL1","CMC1","FIBP","RABEPK","CALD1","UQCR10","GLUD1","RBM34","SMURF1","NAP1L5","RBMS3","PLCH1","ADGRV1","LOC105378996","PRR7","MBNL1.AS1","PIGW","LOC100420057","PLCE1"
"SNW1","LRRC8C","POMT1","UBAP1","GTF2F2","TMEM5","RASGRP1","MED4","C1GALT1","MYLIP","MTIF3","LOC100130691","NARS2","CMYA5","EPHB6","KIAA1328","SLC38A3","LOC102724946","LOC105379177","LOC105373489","ID2B","LOC102723546"
"DCAF17","LYPLAL1","MICAL1","HMOX2","A2M","SBF1","PAAF1","PCDH17","CAPS2","SLC20A1","PGM2L1","SLC35F4","AGBL1","TOP2B","ZNF484","PPID","LOC105378515","LOC105377508","MURC","LZTS1.AS1","LOC105377493","LOC100131289"
"RAVER2","GABARAPL1","C15orf40","PLCH1","ABCB7","MBD1","CFAP97","TPP1","HMGB1","C5orf28","METAP1","ZNF829","ERLEC1P1","GPC6","CLDND1","ZPBP","SLC5A6","GRID1.AS1","CSNK1A1P1","LOC101928678","ERLIN2","BNC2"
"ANAPC7","ARPC2","RPL8","PSMA5","THSD7B","ELP5","ZNF814","COL19A1","LOC105374054","RC3H1","QRICH1","ZZZ3","GRIK1","PTPN9","FAM185BP","ST7L","GSTT2B","TMEM14E","BTC","LOC102724281","LAP3","LOC100288558"
"AHSA2","ATG4B","TTI1","ING5","METTL14","NEK9","MCF2","PLXDC2","COX2","LOC100506207","ZNF483","COMMD7","SFI1","FMO5","COPB2","LOC645513","LOC101927402","PRIMPOL","RNASE6","LOC101060254","RPS10P2","STXBP2"
"TXNL1","SYNDIG1","N6AMT2","GNB2L1","ATM","ABCB7","CHD3","SEC24D","FAM81A","KIF16B","EED","LRCH2","PNKD","ZC3H15","CAPZA1","ADAM9","FKRP","LOC100507516","LOC105378513","FBXL12","COG1","RPS2P32"
"CYTB","XPNPEP1","MTRR","PLEKHB2","AP4E1","RNF220","RPS27L","ACTR3","CCDC93","MSL2","ME2","NSL1","NOL10","RAB3IP","CFAP36","SHISA6","NNT.AS1","LOC105374330","LOC646890","LOC105378462","AKR1C2","AMOTL1"
"ZNF814","KIF9.AS1","BMS1P4","LINC00290","MYO19","ABCG1","CREM","PHF3","PDZRN4","NUDCD1","DPH6","EVA1C","SLC5A4","PHACTR2","GOT2","ENTPD1.AS1","TRPM6","LOC101929507","CLP1","PCOLCE2","LOC728485","SUCNR1"
"PER3","PTP4A2","KLHL20","HYDIN","LOC100506207","DUSP3","MEIS3","MEF2C.AS1","EMC2","ZMAT2","TMEM25","ZRANB1","HDX","RALGAPA2","TMEM126B","ST8SIA3","LOC105369204","RPRD1B","FAM157A","LOC102725082","APPL1","MAPT.IT1"
"UBAP1","PTK2B","YARS","HECTD1","NCOA3","C10orf107","TTN","LIMS1","TMEM170B","C16orf70","TMEM168","KIF3C","COL5A2","MRPL32","CEBPZ","CEBPZ","HEATR5A","LOC105379037","B3GALNT1P1","LOC105377142","CDCA3","TBC1D7"
"RBKS","RPL13","ZNF335","B4GALNT3","NPAT","CYP4Z1","TCEAL4","GRIK3","PWAR5","ATXN7L3B","FAM3C","ZNF318","SLC29A1","CUX2","NHP2","NPHP1","DEF6","CDH22","MIPEPP3","WNT3","NEUROD2","ASAP1.IT2"
"AARS","PRPF40A","RIC8B","PCF11","UTP20","ZNHIT3","PMM1","LOC105373513","BTBD10","LOC105369862","SGPL1","SMARCAL1","SAT2","SEC61A2","PPP1R7","RNASEH2B","H2AFZP2","LOC101929615","KCTD19","LOC105377771","LOC105377146","IL20RA"
"FAM177A1","HMGCLL1","PAN2","NBR1","BRD7","VPS51","COA6","SPICE1","COG3","TSPYL4","TCEB1","MTHFD2L","C5orf51","MAP3K5","NDUFS4","API5","MT1XP1","HAPLN4","LOC105372267","LOC646665","LOC283299","PLEKHG4B"
"L3HYPDH","PCNT","RPS5","ADCY6","BCO2","TUBG2","GRIK4","ND4","TOR1AIP2","FTCDNL1","MORN4","ERBB4","GMCL1","PHKG2","SLC12A6","TCTEX1D2","SLC38A8","ACRV1","LOC105379259","SOCS2","LOC105375421","RDH10"
"RNF220","MARCH4","CACUL1","LRP1","ST6GAL1","TBP","MRE11A","GABARAP","TMEM150C","FAM76B","LIMS1","FAM173B","IFNAR2","WWC2","MFSD4","UQCR10","GUCY2EP","LOC100421868","LOC105377785","ATG9A","TUSC2","GATA3"
"ERLEC1","DSTN","EEA1","NUP210","HNRNPA3","RSAD1","DHX57","PALM2.AKAP2","POLR2J4","DGUOK","ITM2C","COX5A","USP13","RPL13","LINC00630","BCL2","ANXA3","ZNF815P","ARGFXP2","COPG1","LOC105369454","KLHL26"
"DHRS7B","ST8SIA3","CALCOCO1","LOC100507577","LINC00883","PRRC2A","MAP3K7","CLSTN2","DDHD2","NEFL","MCPH1","DNER","MTMR2","ABCE1","KATNAL1","RANBP2","MTPAP","VILL","FAM175A","LOC105372781","RNF5","LOC102724364"
"COPS2","CEBPZ","NCK1","NPHP1","UBE4B","STIM2","IFT74","SFTA1P","STARD3NL","CRIPT","AP4E1","SUPT20H","TTC5","METTL10","KIAA1033","TMEM245","FAHD2CP","LOC105377862","LOC105370412","ZMAT2","C10orf2","LOC105372745"
"EEA1","LINC01322","ARHGEF2","JPH3","NUP160","LPCAT3","GGCT","NARF","USP46","WASL","PSMA7","NBPF3","TTC39B","CLUAP1","HCG18","LOC101927080","ALDH9A1","CCNB1IP1","C17orf70","C16orf70","IMPA1P","PRPF6"
"ND4","TRIP11","RASA3","ARG2","OSBPL10","SEC14L1","RAB26","DDX51","HNRNPA3","ZNF529","SMARCC2","MTSS1","DENND5A","CAPRIN1","APIP","LOC284581","IL6STP1","LOC105373794","IFRD2","ZSCAN32","LOC100506532","ZFP57"
"SYT17","MAP1A","RAD23A","WDFY1","NMNAT3","LOC105378404","SYT17","GDPD1","PTK2B","LOC105370303","CDON","FAM134A","PIP5K1B","ZFC3H1","GFPT1","MRPS22","ZCCHC24","LOC105371037","HMGA1P2","LOC105370353","LOC101927756","LOC102725044"
"CDC5L","NIM1K","SETD3","PRRC2B","ZNF718","LOC101928961","UTP6","ZNF667.AS1","PIP4K2C","LOC105376423","NNT","KIAA1456","ZNF804A","KLF12","TMCO1","PLCH1","UBL7.AS1","BCL2L2.PABPN1","GLUD1P3","LOC105378422","VASH2","LOC105372395"
