ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
770611326,0.030282952,9.000180004,0.07304,0.123255657,0.07028,0.1033825,0.10838,170,-41.51875305,46.36249924,-57.65000153,-53.46250153,-57.65000153,,0.00094,1.260064217,0.70936,0.71176,0.7554,0.7554,0.45698,-79.08551788,130,0.1650033,0.007618859,-87.64375305,107.812494,0.01813687
611616224,,1.00002,,,0.18408,,,230,-37,51.84375,-50.78125381,-49.09375381,-50.78125381,-45.96875381,0.0007,1.09934604,0.7668,0.76874,0.81374,0.81374,0.56274,-73.85196933,190,0.073940873,0.017477555,-84.03125763,86.58860624,0.02130251
672650708,0.062737554,8.000160003,0.06248,0.199476411,0.07684,0.121417143,0.12938,239.9999847,-37.15625,46.53125381,-51.21875,-47.18750381,-51.21875,-46.40625,0.00084,1.321501652,0.67142,0.67408,0.71904,0.71904,0.33778,-80.89384537,200,0.077803278,0.04436367,-88.96875,64.84375149,0.01667788
758763787,,1.00002,,,0.06646,,,190,-27.63125038,63.16249847,-41.92500305,-38.66875076,,,0.00102,1.459822632,0.65104,0.65394,0.70618,,,-60.09225803,150,0.029310931,0.024248147,-69.51875305,89.21889961,0.032979579
592558145,0.321139982,6.000120002,0.00982,1.066411326,0.05852,0.132048,0.0323,90,-46.59375,41.9375,-60.71875381,-60.68750381,,,0.00094,1.299109168,0.67272,0.67518,0.67542,,,-66.52550107,50,0.148440469,0.075643651,-87.00000763,163.2693261,0.039818016
758294414,0.060852099,8.000160003,0.0725,0.188341576,0.0806,0.128531429,0.13612,140,-25.98750114,49.25000381,-41,-35.95625305,-41,,0.00102,1.302889232,0.73236,0.73508,0.79576,0.79576,0.50638,-67.06454468,100,0.140002797,0.007642072,-76.79999542,115.7810166,0.016977576
732063450,0.275717761,6.000120002,0.00642,0.776429488,0.0819,0.156528,0.23918,200,-33.68750381,50.62500381,-42.1875,-42.15625381,,,0.0009,1.297301227,0.66812,0.6701,0.67008,,0.0077,-70.50877108,160,0.078422621,0.038267124,-80.28125,88.90625089,0.018666316
732791475,0.547667981,4.000080002,0.0091,0.706437322,0.0918,0.281,0.35644,220,-34.03125381,48.5,-41.59375381,-41.53125381,,,0.001,1.581873023,0.6633,0.66598,0.66602,,0.01076,-66.68476817,180,0.04723624,0.105353206,-72.68750763,42.34374687,0.02201356
591399423,0.333302281,4.000080002,0.0355,0.486041273,0.0404,0.09388,0.09926,70,-36.03125,44.84375381,-50.37500381,-50.21875381,,,0.00148,2.359860535,0.61532,0.61978,0.6203,,0.18826,-62.483752,29.99999809,0.079728484,0.027938219,-99.50000763,461.0795677,0.061454052
770369639,0.24351688,6.000120002,0.01132,0.474477244,0.0487,0.181704,0.22028,180,-41.3125,55.07500458,-49.38750458,-49.33125305,,,0.00098,1.519543268,0.61508,0.61778,0.618,,0.01964,-64.75291214,140,0.131917532,0.132972702,-70.91875458,78.43741775,0.015515371
737158405,,2.000040001,0.01686,0,0.07092,0.01686,0.01686,170,-31.90625,53.05625153,-52.44374847,-44.06874847,,,0.0012,1.674175487,0.71942,0.72272,0.86204,,,-64.32409935,130,0.019149319,0.04675743,-70.76875305,81.87503368,0.026801061
720828198,0.073119268,6.000120002,0.12114,0.184567781,0.05314,0.185668,0.19712,280,-33.46875381,55.25000381,-46.00000381,-43.50000381,,,0.00098,1.43798441,0.58816,0.59092,0.62326,,,-67.87944576,239.9999847,0.077886168,0.124166101,-78.25000763,72.09824026,0.019954166
695509855,0.958412284,3.000060001,0.0169,0.958412284,0.05544,0.40637,0.40637,160,-43.59375381,44.90625,-58.9375,-55.31250381,,,0.00102,1.370891816,0.62608,0.62846,0.71566,,,-70.83846422,119.9999924,0.077144397,0.159367874,-83.31250763,109.0625376,0.020926413
592598585,,1.00002,,,0.06702,,,190,-42.96875381,41.84375381,-60.84375381,-60.71875381,,,0.00102,1.230470155,0.61014,0.61256,0.61248,,,-67.26839423,150,0.021257032,0.151630864,-78.56250763,79.51382548,0.027154731
596891498,0.058663454,8.000160003,0.06932,0.195451282,0.03972,0.124091429,0.13044,170,-44.31250381,47.46875,-56.68750381,-56.56250381,,,0.00094,1.366757836,0.59904,0.6017,0.60192,,,-64.66614845,130,0.100737311,0.077194452,-74.96875763,86.06770635,0.016007435
