"","Number","Cell","Slice","Date","Sample","Mouse","Mouse date of birth","Mouse age","Mouse gender","Mouse genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","Hold Time (min)","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","top_cluster_score","C1qb","Tyrobp","cell id","AP Fano factor","AP amplitude (mV)","AP amplitude adaptation index","AP amplitude average adaptation index","AP coefficient of variation","AP threshold (mV)","AP width (ms)","Afterdepolarization (mV)","Afterhyperpolarization (mV)","Burstiness","ISI Fano factor","ISI adaptation index","ISI average adaptation index","ISI coefficient of variation","Input resistance (MOhm)","Latency (ms)","Latency @ +20pA current (ms)","Max number of APs","Membrane time constant (ms)","Rebound (mV)","Rebound number of APs","Resting membrane potential (mV)","Rheobase (pA)","Sag area (mV*s)","Sag ratio","Sag time (s)","Spike frequency adaptation","Upstroke-to-downstroke ratio","Wildness","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Macrophage","Oligo","Peri","SMC","VLMC"
"1",1,"20171204_sample_2","20171204_slice_2",2017-12-04,"sample 2","mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",10315633,1060515,947943,1,15953,"ET","L5 ET_1",0.88,"L5 ET_1 (88.3%), L5 ET_2 (3.1%), L6 CT Pou3f2 (2.4%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1","99.0%)","99.0","","L5",1955,95.19,"Fede",8,"736.7",271,535.8,1478.808,"y",NA,99,-1.36474471660176,-1.36474471660176,"20171204_sample_2",0.940204637999521,92.4708731472492,0.921983172821977,0.981921881764971,0.116992499494622,-27.9546119272709,1.28,0,-3.21631319820881,0.685689201053556,0.00257039780483933,2.14833080424886,1.26808889099834,0.256077788012719,72.7258884225573,111.8,60.48,16,9.70370709498408,1.08913745595697,0,-66.9706547081471,300,0,1.13215131514701,0,0.777777777777778,3.43258028356054,0,"Glutamatergic","L5.PT_on",148.340840708964,0.684279448436252,NA,0.435530945978967,-Inf,0.102230715772678,NA,0.224145662263766,0.0660806170734785,0.063023775523463,NA,NA,0.0598779425626659
"2",2,"20171204_sample_4","20171204_slice_4",2017-12-04,"sample 4","mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",5272324,2706142,1216945,1,17906,"IT","L5 IT_2",0.52,"L5 IT_2 (51.9%), L5 IT_4 (9.1%), L6 CT Pou3f2 (8.3%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)","L6 IT VISp Penk Fst","34.0%), L5 IT VISp Col27a1","34.0",", L5 IT VISp Col27a1","L6",1887,80.22,"Fede",9,"726.2",285.7,545.9,1506.684,"y",NA,34,-1.36474471660176,-0.0430627415694969,"20171204_sample_4",1.06408176122744,88.1682895123959,0.902157011720556,0.979377468210704,0.124814246470671,-27.8212539851665,1.39999999999998,0,-6.44145533442497,0.537117903930131,0.00181312424867327,1.15363735070575,1.08184807425107,0.20836207885098,71.3817837014795,76.16,45.72,15,7.27796176988683,0.111788465234085,0,-63.5307751983404,294.285714285714,0,1.03326520088628,0,0.875,3.89301414017856,0,"Glutamatergic","L5.IT_on",166.404147578485,0.767603431248648,NA,0.527958825930557,-Inf,0.202981711318251,NA,0.232915109423875,0.0619107318937176,0.219160282534142,NA,NA,0.0898161711408883
"3",3,"20171204_sample_5","20171204_slice_5",2017-12-04,"sample 5","mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",18172944,5610782,1541985,1,20974,"IT","L5 IT_1",0.97,"L5 IT_1 (97.0%)","L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)","L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)","L5 IT ALM Cpa6 Gpr88","55.0%), L5 IT ALM Gkn1 Pcdh19","55.0",", L5 IT ALM Gkn1 Pcdh19","L5",1869,439.16,"Fede",8,"659.8",241.8,530.4,1463.904,"y",NA,55,-1.36474471660176,-1.36474471660176,"20171204_sample_5",1.69483831249903,85.7968237251043,0.85904390478488,0.991825468045428,0.17271060182517,-26.3634007424116,1.40000000000001,0,-0.62066875398159,0.495403472931563,0.00200678886750374,1.19279279279279,1.06527543826047,0.24914687958926,120.178483026102,62.56,35.6,19,6.87118890734488,0.629718922082191,0,-74.6359204098582,300,0,1.08129730977644,0,0.727272727272727,3.97128884281915,0,"Glutamatergic","L5.IT_on",238.263351371358,1.09908177599477,NA,0.560106664049737,Inf,0.128621912099708,NA,0.18856143800952,0.0682966402605441,0.133819571465969,NA,NA,0.0653433540438676
"4",4,"20171204_sample_6","20171204_slice_6",2017-12-04,"sample 6","mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",6226321,6139027,1366216,1,18091,"ET","L5 ET_4",0.94,"L5 ET_4 (94.0%), L5 ET_2 (5.3%)","L5 PT ALM Npsr1 (99.0%)","L5 PT ALM Npsr1 (99.0%)","L5 PT ALM Npsr1","99.0%)","99.0","","L5",1999,211.71,"Fede",8,"571.7",210,501.1,1383.036,"y",NA,99,-1.36474471660176,-1.36474471660176,"20171204_sample_6",1.53793044835574,97.3181016743183,0.930626885530266,0.984171490237332,0.148604409837965,-25.5209840834141,1.20000000000001,0,4.5954454690218,0.604190919674039,0.00262060802035214,2.31264193792581,1.1992421628291,0.29617905600822,63.1107482487956,26.36,20.4,21,4.27946230347664,0.79013102678028,0,-59.4160372786224,400,0,1.1379550909813,0,0.75,3.5274534743365,0,"Glutamatergic","L5.PT_on",162.462875904199,0.749422792696728,NA,0.515809143609141,-Inf,0.136038424775837,NA,0.171840041858141,0.0561548337724856,0.0900460870949406,NA,NA,0.0662440406415063
"5",5,"20171207_sample_1","20171207_slice_1",2017-12-07,"sample 1","mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",3786954,5386523,1499012,1,23100,"ET","L5 ET_1",0.91,"L5 ET_1 (90.7%), L5 ET_4 (5.7%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)","L5 PT VISp Krt80","51.0%), L5 PT ALM Slco2a1","51.0",", L5 PT ALM Slco2a1","L5",1884,986.46,"Fede",10,"772.4",288.9,477.1,1316.796,"y",NA,51,6.50131231657662,5.9389536743468,"20171207_sample_1",0.272787218166236,86.9474820792675,0.91631836645568,1.00018436850714,0.0619267636174929,-44.8297448456287,0.83999999999998,0,-4.91209700703621,0.699328859060403,0.000957749479481497,19.1780821917808,5.60045326574422,0.219646268234587,39.9408075163763,79.84,49.76,31,10.1433955658264,1.74833337523741,0,-70.5805925413966,231.111111111111,0,1.33392151384383,0,0.823529411764706,2.60188304195941,0,"Glutamatergic","L5.PT_on",177.221166633291,0.817501111463832,NA,0.447587707665666,-Inf,0.238021068878466,NA,0.47825199145087,0.323475415150541,0.198450655337392,NA,NA,0.176706824569769
"6",6,"20171207_sample_2","20171207_slice_2",2017-12-07,"sample 2","mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",8720847,7844835,2052263,1,24833,"ET","L5 ET_1",0.9,"L5 ET_1 (89.7%), L5 ET_2 (5.4%)","L5 PT ALM Slco2a1 (96.0%)","L5 PT ALM Slco2a1 (96.0%)","L5 PT ALM Slco2a1","96.0%)","96.0","","L5",1929,1067.33,"Fede",9,"619.7",190.2,490.5,1353.78,"y",NA,96,7.41242942742308,6.9954521620704,"20171207_sample_2",0.726064555006878,87.6763388514519,0.77374010678356,1.01625556027563,0.120695268078595,-47.6284436881542,0.920000000000004,0,1.73130631446838,0.479638009049775,0.00059039741129979,35.1818181818181,10.2695068981566,0.216063671120994,38.5270351413637,80.84,42.28,48,9.520988081718,0.7139570877588,0,-67.9785788714886,240,0,1.16852467767839,0,0.777777777777778,2.75452399936055,0,"Glutamatergic","L5.PT_on",202.614310229959,0.934636798516335,NA,0.434615932026181,-Inf,0.405014622768793,NA,0.367682450560919,0.376127500990376,0.266217863201916,NA,NA,0.15155558017194
"7",7,"20171207_sample_6","20171207_slice_6",2017-12-07,"sample 6","mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",11706332,7897632,1570407,1,20130,"IT","L5 IT_1",0.94,"L5 IT_1 (94.4%), L5 ET_1 (1.7%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)","L5 IT ALM Cpa6 Gpr88","51.0%), L5 IT VISp Batf3","51.0",", L5 IT VISp Batf3","L5",2250,356.56,"Fede",11,"798.6",289.6,550.8,1520.208,"y",NA,51,8.10878625885254,7.96078754596118,"20171207_sample_6",0.289960589730667,83.9087590575218,0.979456416174788,0.995856714822354,0.0660675412737422,-43.7650419771671,0.920000000000004,0,-11.5939974784851,0.169892473118279,0.000395206405225839,1.25262054507337,1.07306061102972,0.133701353652839,100.077700092711,45.4,25.96,28,12.1714926897685,0.788821922497419,0,-64.7137469083071,80,0,1.05989891940746,0,0.866666666666667,2.98784458969122,0,"Glutamatergic","L5.IT_on",202.589865953327,0.93452403984481,NA,0.452703399677466,-Inf,0.175495947841375,NA,0.211273196466431,0.461013036836913,0.148849326474973,NA,NA,0.109943588117151
"8",8,"20171207_sample_7","20171207_slice_7",2017-12-07,"sample 7","mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",10300710,3742528,994934,1,21402,"IT","L5 IT_1",0.49,"L5 IT_1 (49.0%), L5 IT_2 (42.9%), L6 IT_1 (5.1%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)","L5 IT ALM Gkn1 Pcdh19","69.0%), L6 IT ALM Tgfb1","69.0",", L6 IT ALM Tgfb1","L5",2032,696.4,"Fede",10,"628.6",207.9,522.3,1441.548,"y",NA,69,3.10430462452616,5.17159432229539,"20171207_sample_7",0.98269441374636,82.138653844595,0.95883262213292,0.994187496843229,0.128704568541507,-43.915681540966,0.959999999999989,0,-12.1408477425575,0.245468844918858,0.000563650198837566,1.27576974564926,1.06616200407651,0.162487674377366,96.5828671042215,40,25.44,29,11.9767639753419,0.395203547718438,0,-67.8824646115303,100.740740740741,0,1.05645232343997,0,0.866666666666667,3.00397737700264,0,"Glutamatergic","L5.IT_on",233.870220899668,1.0788167641362,NA,0.568206362500749,Inf,0.291409993992534,NA,0.416191219727315,0.147820803440473,0.236915900609261,NA,NA,0.0929134942707091
"9",9,"20171219_sample_1","20171219_slice_1",2017-12-19,"sample 1","mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",227299,310804,40074,3,11141,"IT","L4/5 IT_2",0.99,"L4/5 IT_2 (99.1%)","L5 IT ALM Lypd1 Gpr88 (96.0%)","L5 IT ALM Lypd1 Gpr88 (96.0%)","L5 IT ALM Lypd1 Gpr88","96.0%)","96.0","","L5",2356,410.96,"Fede",10,"805.2",282.9,604.2,1667.592,"y",NA,96,6.20641010742105,2.95119229150171,"20171219_sample_1",2.54527097748402,102.063372731209,0.632451783065245,0.994599379863979,0.195746000302405,-44.967595487833,2.04000000000004,0,2.86733731627464,0,0.00563047714779331,1.89893617021277,1.31965289573419,0.332475908680641,178.404058464936,168.04,113.96,12,22.3246638111829,1.66838320149553,0,-71.8545997619629,60,0,1.08893428538574,0,0.571428571428571,5.49502556590653,1,"Glutamatergic","L5.IT_on",198.76298835374,0.916871088165672,NA,0.45268331970764,-Inf,0.110285761894563,NA,0.149498651625448,0.162213241401152,0.0501561852261258,NA,NA,0.0354901589868108
"10",10,"20171219_sample_2","20171219_slice_2",2017-12-19,"sample 2 ","mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",3392481,1859939,441786,1,18440,"IT","L5 IT_1",0.99,"L5 IT_1 (99.4%)","L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)","L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)","L5 IT ALM Cpa6 Gpr88","73.0%), L5 IT ALM Gkn1 Pcdh19","73.0",", L5 IT ALM Gkn1 Pcdh19","L5",2173,626.48,"Fede",10,"598.6",217.1,483.7,1335.012,"y",NA,73,-1.36474471660176,5.1982705343391,"20171219_sample_2",3.61122186617793,95.3690968453884,0.59178940304013,1.04486664142834,0.252151445811503,-46.3068187236786,1.59999999999999,0,0.864814966917038,0.577220077220077,0.00280624604145173,1.93333333333333,1.76708579427123,0.284191576007398,177.908654456337,127.08,77.04,18,22.107418781009,2.94811701924536,0,-69.6829984307289,60,0,1.12213873738729,0,0.8,4.92478745865238,0,"Glutamatergic","L5.IT_on",257.220081068342,1.18652701682806,NA,0.588213849072049,Inf,0.165221223442924,NA,0.186172754323058,0.182530740859309,0.114923158493408,NA,NA,0.0660327533951037
