gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,group
SPP1,1.55E-38,7.156198495,0.971,0.229,5.25E-34,UP
RGS1,1.19E-52,7.032827585,0.986,0.086,4.03E-48,UP
ITGAX,1.67E-106,7.004117675,0.9,0.114,5.65E-102,UP
PIK3R5,2.47E-79,6.918726184,0.786,0.171,8.38E-75,UP
GBP2,7.06E-52,6.688569606,0.786,0.071,2.39E-47,DIFF
CX3CR1,1.62E-61,6.66106548,0.786,0.057,5.49E-57,UP
OLR1,3.71E-54,6.656055657,1,0.214,1.26E-49,UP
TNF,1.43E-29,6.646567494,0.971,0.129,4.86E-25,DIFF
XIRP1,8.06E-43,6.630772713,0.643,0.014,2.73E-38,DIFF
MMP19,6.00E-28,6.58822578,0.643,0.057,2.03E-23,DIFF
ICAM1,5.10E-31,6.550922534,0.829,0.114,1.73E-26,DIFF
MS4A7,9.32E-82,6.446390111,0.986,0.043,3.16E-77,UP
CXCL8,5.62E-21,6.404656846,0.929,0.2,1.91E-16,DIFF
CSF2,NA,6.352489583,0.3,0.029,NA,NO
BCL2A1,6.37E-39,6.344390353,0.957,0.2,2.16E-34,DIFF
UCP2,1.39E-86,6.336497023,0.957,0.086,4.72E-82,UP
PLIN2,1.20E-22,6.313684581,0.757,0.157,4.06E-18,DIFF
CXCL16,1.20E-69,6.271545906,0.986,0.129,4.06E-65,UP
IL1B,1.58E-26,6.23961747,0.986,0.286,5.37E-22,DIFF
CD84,7.25E-68,6.19714647,0.886,0.071,2.46E-63,UP
CCL2,2.07E-29,6.193670279,0.986,0.286,7.01E-25,DIFF
PLEK,3.73E-33,6.149207559,0.971,0.2,1.26E-28,UP
CCR7,5.45E-101,6.145968527,0.329,0,1.85E-96,DIFF
ITGB2,1.08E-53,6.135851767,0.986,0.071,3.66E-49,UP
LCP2,7.91E-55,6.122812406,0.971,0.114,2.68E-50,UP
MSR1,1.41E-37,6.114586506,0.786,0.186,4.78E-33,UP
SLC43A3,7.33E-47,6.108249317,0.657,0.057,2.48E-42,DIFF
FCER1G,1.87E-65,6.071329385,1,0.143,6.32E-61,UP
SPHK1,2.71E-25,6.04314773,0.829,0.043,9.18E-21,DIFF
CCL8,2.53E-15,6.0363999,0.371,0.014,8.58E-11,DIFF
LAPTM5,5.97E-53,5.997593502,1,0.243,2.02E-48,UP
APBB1IP,3.62E-80,5.981341949,0.957,0.443,1.22E-75,UP
TLR2,2.29E-48,5.963198037,0.814,0.129,7.76E-44,UP
HLA-DRA,8.88E-33,5.947287941,1,0.171,3.01E-28,UP
CD53,1.33E-31,5.931637258,0.943,0.057,4.51E-27,UP
IRF8,4.14E-36,5.922111333,0.957,0.086,1.40E-31,UP
C1QB,1.04E-41,5.920514678,1,0.214,3.51E-37,UP
CD74,8.80E-50,5.914879933,1,0.5,2.98E-45,UP
GPR183,1.55E-37,5.902531056,0.843,0.171,5.24E-33,UP
C10orf128,7.40E-44,5.891201984,0.714,0.086,2.51E-39,UP
TNFSF8,3.46E-33,5.874370354,0.6,0.1,1.17E-28,DIFF
TNFRSF1B,4.42E-63,5.786929972,0.857,0.071,1.50E-58,UP
PMAIP1,5.63E-23,5.744099218,0.529,0.029,1.91E-18,DIFF
ADAM28,3.46E-50,5.727920455,0.829,0.029,1.17E-45,UP
CD44,1.19E-15,5.724828274,0.457,0.171,4.02E-11,DIFF
OASL,6.55E-17,5.723178642,0.457,0.1,2.22E-12,DIFF
PLAU,2.08E-16,5.720477471,0.629,0.029,7.05E-12,DIFF
CD40,5.11E-51,5.713375638,0.743,0.086,1.73E-46,DIFF
SERPINA1,1.18E-56,5.704254515,0.886,0.1,3.99E-52,DIFF
IL1A,4.02E-17,5.69527758,0.914,0.186,1.36E-12,DIFF
ALOX5AP,3.86E-47,5.691549674,0.957,0.214,1.31E-42,UP
CD83,2.29E-37,5.680564,0.986,0.386,7.76E-33,DIFF
HAVCR2,2.92E-59,5.664942717,0.971,0.286,9.91E-55,UP
TREM2,3.03E-46,5.663281359,0.957,0.057,1.03E-41,UP
C3AR1,7.82E-56,5.64813892,0.914,0.143,2.65E-51,UP
SRGN,8.92E-34,5.641811988,1,0.243,3.02E-29,UP
IL18,2.87E-52,5.620852959,0.829,0.1,9.73E-48,UP
CSF1,5.49E-20,5.587478976,0.7,0.129,1.86E-15,DIFF
LUCAT1,4.91E-27,5.580535694,0.671,0.129,1.66E-22,DIFF
S100A11,6.02E-34,5.575439727,1,0.214,2.04E-29,DIFF
HLA-DPA1,1.81E-35,5.560418787,1,0.129,6.13E-31,UP
TNFAIP3,6.16E-17,5.55586727,0.857,0.071,2.09E-12,DIFF
IL10RA,6.09E-45,5.555471909,0.871,0.043,2.06E-40,UP
C3,1.30E-35,5.547043508,1,0.386,4.40E-31,UP
CYBA,6.24E-68,5.513027119,1,0.229,2.11E-63,UP
CCL20,1.65E-13,5.499421696,0.671,0.086,5.59E-09,DIFF
CD86,4.62E-56,5.488666328,0.914,0.129,1.57E-51,UP
CSF3R,3.26E-61,5.48715376,0.829,0.029,1.11E-56,UP
PTGS1,9.26E-42,5.483723133,0.743,0.029,3.14E-37,UP
LY86,6.42E-62,5.47886307,0.943,0.071,2.17E-57,UP
CCL4,4.90E-31,5.471001486,1,0.586,1.66E-26,DIFF
TNFSF15,4.05E-09,5.457658176,0.271,0.071,0.000137125,DIFF
MAML2,9.73E-38,5.454805522,0.886,0.557,3.30E-33,UP
HCLS1,3.25E-69,5.451332939,0.957,0.243,1.10E-64,UP
PLAUR,4.26E-23,5.449051678,0.871,0.371,1.44E-18,DIFF
LAT2,1.21E-80,5.417179483,0.971,0.371,4.09E-76,UP
PRKCH,1.64E-29,5.41696289,0.9,0.357,5.56E-25,UP
GGTA1P,2.54E-41,5.408957889,0.957,0.271,8.61E-37,UP
ACY3,2.41E-48,5.37778133,0.886,0.1,8.16E-44,UP
TMIGD3,3.14E-36,5.368591495,0.957,0.171,1.06E-31,UP
LIF,1.62E-30,5.305301776,0.414,0.029,5.49E-26,DIFF
C1QA,1.44E-38,5.293238954,1,0.214,4.87E-34,UP
LYN,6.77E-48,5.292687979,0.957,0.429,2.29E-43,UP
IL1RN,1.10E-12,5.27349123,0.629,0.171,3.71E-08,DIFF
RGS10,8.78E-59,5.267546854,1,0.186,2.97E-54,UP
FOLR2,7.11E-43,5.266667196,0.914,0.043,2.41E-38,UP
CXCL2,0.000168936,5.263004107,0.271,0.086,1,DIFF
CCL3,3.09E-26,5.256554787,1,0.529,1.05E-21,DIFF
RHOG,4.52E-54,5.247927513,0.943,0.157,1.53E-49,DIFF
CLIC1,1.01E-23,5.208506653,0.957,0.1,3.42E-19,DIFF
ANKRD22,1.58E-25,5.194091313,0.514,0.029,5.34E-21,DIFF
CH25H,1.95E-20,5.193754493,0.914,0.129,6.59E-16,UP
FPR1,1.29E-41,5.181636754,0.943,0.129,4.36E-37,DIFF
C10orf54,2.21E-26,5.140568198,0.829,0.057,7.48E-22,UP
TRAF1,6.84E-11,5.122968091,0.386,0.143,2.32E-06,DIFF
PLD4,1.32E-51,5.111210207,0.943,0.071,4.48E-47,UP
VSIG4,3.01E-24,5.077053058,0.757,0.057,1.02E-19,UP
FCGR1A,2.30E-73,5.076935667,0.957,0.043,7.80E-69,UP
LINC00346,3.84E-31,5.072840807,0.6,0,1.30E-26,DIFF
CD14,1.92E-33,5.070389328,0.886,0.171,6.51E-29,UP
FLT1,1.04E-31,5.068867498,0.843,0.543,3.51E-27,DIFF
LST1,3.06E-47,5.028608224,0.971,0.086,1.04E-42,UP
DOCK8,3.64E-42,5.023385587,0.771,0.229,1.23E-37,UP
PLVAP,2.51E-55,5.014950341,0.914,0.243,8.52E-51,DIFF
SIGLEC10,1.64E-34,5.009297745,0.829,0.029,5.54E-30,UP
P2RY12,3.72E-33,4.99452246,0.971,0.271,1.26E-28,UP
C15orf48,1.33E-15,4.989187245,0.529,0.029,4.49E-11,DIFF
CCRL2,3.66E-17,4.973478676,0.671,0.071,1.24E-12,DIFF
CYBB,2.61E-39,4.95981091,0.9,0.043,8.83E-35,UP
HLA-DRB5,6.46E-44,4.95878358,1,0.286,2.19E-39,UP
FCGRT,6.23E-51,4.95806932,1,0.314,2.11E-46,UP
CD68,3.42E-42,4.949831118,1,0.286,1.16E-37,UP
HLA-E,1.18E-25,4.938429498,1,0.271,3.98E-21,UP
TMEM119,1.36E-43,4.934442495,0.886,0.029,4.62E-39,UP
CD300A,4.81E-48,4.932233444,0.714,0.114,1.63E-43,UP
IFI30,1.21E-30,4.926163054,0.929,0.2,4.08E-26,UP
OR9A4,5.24E-25,4.909576346,0.671,0.257,1.78E-20,DIFF
CSF2RA,3.24E-43,4.906449337,0.929,0.043,1.10E-38,UP
CCL22,NA,4.88702529,0.2,0.057,NA,NO
PXDC1,2.80E-27,4.862650602,0.714,0.057,9.49E-23,DIFF
CD4,4.68E-39,4.857980995,0.814,0.143,1.59E-34,UP
TYROBP,1.97E-32,4.856391114,1,0.329,6.67E-28,UP
SIGLEC8,1.46E-37,4.855935103,0.657,0.014,4.94E-33,UP
LITAF,6.48E-49,4.819208975,0.943,0.557,2.20E-44,DIFF
PTPRC,6.01E-36,4.808939431,0.814,0.143,2.04E-31,UP
MFNG,3.11E-31,4.803281427,0.6,0.029,1.05E-26,DIFF
NFKBIA,9.46E-34,4.802873826,0.971,0.543,3.20E-29,UP
HLA-DMA,7.00E-34,4.796661762,0.914,0.1,2.37E-29,UP
SAMSN1,2.70E-34,4.794681092,0.8,0.114,9.16E-30,UP
CLEC7A,4.96E-32,4.792803736,0.929,0.071,1.68E-27,UP
MSN,1.34E-40,4.789181998,0.971,0.371,4.54E-36,UP
AIF1,3.48E-33,4.758009094,1,0.429,1.18E-28,UP
CSF3,NA,4.757175679,0.143,0,NA,NO
TMEM156,5.00E-51,4.738767837,0.843,0.2,1.69E-46,UP
ADAP2,2.46E-47,4.733015322,0.914,0.214,8.32E-43,UP
RHBDF2,1.06E-50,4.729484013,0.914,0.257,3.61E-46,UP
CD99,9.16E-49,4.725639089,0.986,0.143,3.10E-44,UP
OLFML3,4.20E-31,4.693598764,0.829,0.071,1.42E-26,UP
IGSF6,4.94E-30,4.690079207,0.886,0.086,1.67E-25,UP
LAIR1,7.75E-35,4.682952291,0.686,0.1,2.63E-30,UP
DHRS9,8.78E-18,4.681025223,0.871,0.114,2.98E-13,UP
IRAK2,5.77E-39,4.659738931,0.943,0.629,1.95E-34,DIFF
NPL,5.00E-31,4.61629192,0.8,0.2,1.69E-26,UP
A2M,1.10E-29,4.60140321,1,0.457,3.73E-25,UP
ACSL5,3.47E-22,4.546048056,0.657,0.2,1.17E-17,DIFF
MIR155HG,6.06E-09,4.54575574,0.543,0.157,0.00020538,DIFF
HLA-DRB1,1.23E-29,4.527200366,0.986,0.429,4.17E-25,UP
FCGR3A,1.89E-21,4.525226284,0.786,0.043,6.40E-17,UP
KLHL6,1.50E-19,4.513788886,0.771,0.157,5.09E-15,UP
TLR4,1.31E-25,4.510057692,0.557,0,4.45E-21,UP
TSPO,3.50E-38,4.509687876,0.914,0.129,1.18E-33,UP
NINJ1,1.38E-31,4.50620103,1,0.443,4.69E-27,UP
IER3,6.57E-26,4.503304865,0.986,0.357,2.23E-21,DIFF
NLRP3,1.32E-25,4.478390265,0.9,0.443,4.48E-21,DIFF
RBM47,4.88E-53,4.465356453,0.9,0.814,1.65E-48,UP
SUSD3,3.00E-23,4.465248945,0.671,0.171,1.02E-18,UP
CLEC9A,1.95E-31,4.464962725,0.629,0.014,6.60E-27,UP
ITGA5,1.40E-17,4.464721066,0.543,0.014,4.73E-13,DIFF
GYPC,4.69E-24,4.459431619,0.957,0.086,1.59E-19,UP
MS4A4A,9.75E-23,4.443148206,0.529,0.014,3.30E-18,UP
SYK,3.06E-33,4.434326776,0.843,0.186,1.04E-28,UP
SERPINE1,3.78E-17,4.430368127,0.829,0.3,1.28E-12,DIFF
VAMP8,1.14E-28,4.425778426,0.914,0.043,3.87E-24,UP
IKZF1,2.16E-15,4.42137633,0.829,0.129,7.33E-11,UP
LCP1,8.07E-25,4.418975518,0.886,0.243,2.74E-20,UP
C1QC,1.72E-52,4.413594082,1,0.157,5.84E-48,UP
OSM,6.12E-16,4.413271072,0.686,0.071,2.07E-11,DIFF
TREM1,4.35E-18,4.403882174,0.457,0.014,1.47E-13,DIFF
ADGRE2,4.35E-21,4.387685974,0.529,0.243,1.47E-16,DIFF
TGFBR2,1.43E-21,4.381133684,0.6,0.114,4.85E-17,UP
ARHGDIB,6.77E-26,4.379778864,1,0.286,2.29E-21,UP
SLC37A2,1.52E-23,4.379695338,0.557,0.071,5.15E-19,DIFF
G0S2,6.83E-07,4.36171563,0.686,0.171,0.02314721,DIFF
CTSC,8.40E-24,4.33159983,0.8,0.1,2.85E-19,UP
SOD2,5.12E-19,4.323849812,0.971,0.571,1.74E-14,DIFF
IFITM2,1.50E-31,4.311225093,0.829,0.043,5.09E-27,DIFF
LILRB4,4.66E-21,4.308257272,0.943,0.129,1.58E-16,UP
GM2A,2.61E-26,4.303954661,0.671,0.129,8.84E-22,DIFF
GPR34,4.62E-15,4.288961292,0.886,0.1,1.56E-10,UP
NCF4,3.06E-36,4.280705432,0.686,0.014,1.04E-31,UP
LILRA4,9.96E-22,4.276921988,0.514,0,3.38E-17,DIFF
IDO1,NA,4.276921988,0.171,0,NA,NO
PCED1B-AS1,5.11E-38,4.270282489,0.786,0.043,1.73E-33,UP
MS4A6A,5.11E-14,4.249465841,0.543,0.071,1.73E-09,UP
EBI3,6.57E-35,4.237270736,0.929,0.229,2.23E-30,DIFF
GPR84,1.60E-13,4.226163015,0.714,0.057,5.41E-09,DIFF
SLC2A5,5.05E-26,4.215012891,0.943,0.357,1.71E-21,UP
TNFAIP8L3,8.00E-15,4.214746523,0.614,0.029,2.71E-10,DIFF
NFKB2,4.85E-24,4.21468158,0.757,0.143,1.64E-19,DIFF
PIK3AP1,1.01E-23,4.206704851,0.871,0.457,3.42E-19,UP
PTAFR,1.25E-25,4.20524813,0.7,0.371,4.23E-21,UP
FCAR,2.40E-30,4.204571144,0.629,0.129,8.14E-26,DIFF
DOCK10,1.15E-29,4.198638357,0.943,0.529,3.89E-25,UP
EMP3,2.66E-21,4.189628873,0.771,0.171,9.01E-17,DIFF
LINC01094,1.54E-22,4.188845863,0.714,0.071,5.21E-18,UP
CCL7,5.67E-07,4.178311353,0.343,0.043,0.019206971,DIFF
C5AR1,6.14E-38,4.176817967,0.871,0.386,2.08E-33,DIFF
RCSD1,7.83E-22,4.176077228,0.729,0.243,2.65E-17,UP
ADRB2,1.29E-14,4.158064846,0.471,0.029,4.36E-10,UP
CASP1,3.07E-20,4.14974712,0.529,0.014,1.04E-15,UP
MNDA,9.03E-22,4.145897731,0.514,0.014,3.06E-17,UP
RAB20,4.54E-18,4.145726262,0.786,0.129,1.54E-13,UP
ARPC1B,1.14E-28,4.126147404,1,0.414,3.87E-24,UP
MOB3C,4.04E-11,4.111508315,0.343,0,1.37E-06,DIFF
PAQR5,3.91E-15,4.10679213,0.557,0.257,1.33E-10,DIFF
COTL1,1.24E-42,4.105055238,1,0.514,4.20E-38,UP
SIPA1,1.69E-27,4.104766737,0.6,0.086,5.71E-23,UP
SOCS3,8.23E-09,4.079855604,0.729,0.071,0.00027883,DIFF
XAF1,5.13E-16,4.077167861,0.443,0.114,1.74E-11,UP
TNFAIP8,3.46E-12,4.072348915,0.686,0.371,1.17E-07,DIFF
TNFRSF10D,1.74E-14,4.064714104,0.443,0.071,5.88E-10,UP
FTL,4.13E-78,4.048834751,1,1,1.40E-73,UP
PYCARD,4.98E-27,4.047919835,0.871,0.171,1.69E-22,DIFF
GSN,4.89E-23,4.039087612,0.986,0.429,1.66E-18,UP
LIPN,1.64E-07,4.038135129,0.271,0,0.005542376,DIFF
RUNX1,5.63E-19,4.03059213,0.9,0.329,1.91E-14,UP
C12orf75,7.87E-23,4.029953944,0.986,0.271,2.67E-18,UP
BIRC3,1.42E-08,4.027341849,0.471,0.029,0.000482572,DIFF
LPAR1,1.51E-18,4.019642396,0.771,0.171,5.11E-14,UP
CCR1,2.17E-15,4.014146164,0.729,0.071,7.34E-11,DIFF
MMP2,1.52E-22,4.013887583,0.571,0.043,5.16E-18,UP
ADPRH,1.92E-18,4.002573944,0.5,0,6.49E-14,DIFF
SASH3,3.42E-14,3.996185026,0.386,0.014,1.16E-09,UP
TGIF1,1.42E-20,3.987192224,0.814,0.2,4.83E-16,DIFF
MAP3K8,1.13E-20,3.982023316,0.943,0.243,3.84E-16,UP
TRIP10,3.10E-17,3.966286004,0.457,0.1,1.05E-12,DIFF
STX11,1.72E-10,3.957516669,0.857,0.171,5.83E-06,DIFF
IRAK3,3.68E-11,3.953494554,0.771,0.114,1.25E-06,UP
IL3RA,2.18E-17,3.952866024,0.457,0,7.38E-13,DIFF
ANXA2,1.16E-10,3.951787134,0.486,0.271,3.93E-06,DIFF
RGS19,1.10E-24,3.949853892,0.886,0.1,3.72E-20,UP
NAPSB,4.81E-19,3.945118649,0.457,0.014,1.63E-14,DIFF
THEMIS2,1.15E-19,3.941857519,0.7,0.071,3.88E-15,UP
NPC2,4.72E-21,3.938681341,0.971,0.243,1.60E-16,UP
GAB3,2.81E-11,3.935919644,0.671,0.129,9.51E-07,UP
GBP1,3.21E-09,3.932763121,0.314,0,0.000108812,DIFF
GAL3ST4,2.28E-15,3.93042196,0.671,0.157,7.72E-11,UP
CYTH4,9.91E-27,3.924733341,0.6,0.029,3.36E-22,UP
GPR132,5.08E-17,3.921461408,0.743,0.171,1.72E-12,DIFF
HLA-DQA1,5.51E-10,3.92145289,0.757,0.1,1.87E-05,DIFF
MAPKAPK3,NA,3.919904686,0.643,0.071,NA,NO
PPP1R18,1.30E-29,3.91905248,0.9,0.071,4.42E-25,DIFF
IL13RA1,4.81E-19,3.90650888,0.971,0.114,1.63E-14,UP
LYVE1,2.59E-15,3.906314554,0.7,0.086,8.78E-11,UP
HLA-DQB1,4.14E-14,3.906117861,0.886,0.171,1.40E-09,DIFF
LTC4S,7.44E-35,3.903928182,0.929,0.186,2.52E-30,UP
KCNIP1,5.75E-16,3.897552731,0.686,0.329,1.95E-11,UP
FCGR2A,3.65E-47,3.896650604,0.971,0.829,1.24E-42,UP
GIMAP4,4.93E-14,3.889660225,0.371,0.043,1.67E-09,UP
TNIP3,NA,3.888837867,0.3,0.114,NA,NO
STAT5A,6.43E-18,3.866248611,0.543,0.157,2.18E-13,DIFF
RAB32,9.51E-19,3.863498,0.814,0.143,3.22E-14,DIFF
ITPRIP,2.14E-14,3.855004933,0.743,0.186,7.25E-10,DIFF
HAMP,1.04E-17,3.845546815,0.843,0.186,3.51E-13,DIFF
SCIN,2.31E-08,3.841953584,0.743,0.171,0.000783763,UP
STAB1,6.42E-24,3.838064788,0.6,0.071,2.18E-19,UP
PRDM1,2.07E-14,3.828323772,0.629,0.129,7.01E-10,DIFF
MYOF,2.70E-27,3.818038705,0.886,0.571,9.15E-23,UP
GPX1,1.78E-37,3.789289282,1,0.757,6.05E-33,UP
BIN2,5.99E-15,3.787480287,0.843,0.243,2.03E-10,UP
RNASE2,3.04E-11,3.777607579,0.357,0,1.03E-06,DIFF
ARHGAP31,4.03E-11,3.763253528,0.857,0.243,1.37E-06,UP
MCM5,1.65E-20,3.759281182,0.557,0.129,5.61E-16,UP
RAB7B,5.06E-14,3.738167339,0.686,0.257,1.71E-09,DIFF
HLA-B,7.83E-28,3.730607506,1,0.614,2.65E-23,UP
CRYBB1,3.57E-22,3.729910837,0.6,0.029,1.21E-17,DIFF
ZFP36L2,1.31E-14,3.728433961,0.8,0.1,4.45E-10,UP
LILRB1,2.40E-25,3.728303793,0.629,0.014,8.14E-21,UP
CSF1R,6.55E-29,3.718976488,1,0.5,2.22E-24,UP
HTRA1,1.19E-19,3.718250478,0.986,0.443,4.04E-15,UP
PSMB9,2.21E-18,3.717774329,0.5,0,7.49E-14,DIFF
B2M,1.71E-32,3.705741154,1,0.757,5.79E-28,UP
GEM,1.78E-05,3.696371619,0.543,0.114,0.603670042,DIFF
CCL1,NA,3.690895945,0.171,0,NA,NO
LINC01366,4.60E-14,3.686100279,0.457,0,1.56E-09,DIFF
CMTM3,1.19E-17,3.677521993,0.8,0.143,4.02E-13,DIFF
CAPG,1.21E-18,3.677093118,0.986,0.243,4.12E-14,DIFF
FERMT3,2.87E-19,3.671182175,0.829,0.286,9.71E-15,DIFF
RIN2,2.69E-18,3.66962024,0.929,0.643,9.11E-14,UP
SLAMF7,NA,3.660250628,0.2,0.029,NA,NO
SLAMF1,0.000187769,3.651121375,0.271,0.029,1,DIFF
CTSL,1.22E-14,3.636170435,0.943,0.514,4.12E-10,DIFF
TRIM38,3.03E-18,3.63047716,0.586,0.086,1.02E-13,UP
LINC01268,3.38E-14,3.629196472,0.457,0.029,1.14E-09,UP
SQRDL,3.87E-18,3.627153311,0.8,0.286,1.31E-13,DIFF
