"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA10",0,-7.41416608674366,0.892,0.15,0
"2","ABCC8",0,-4.82942402239785,0.933,0.126,0
"3","ABLIM1",0,-5.2063209086828,0.993,0.736,0
"4","ABLIM2",0,-4.4561402891137,0.989,0.305,0
"5","ACTN1",0,-4.86225616834656,0.987,0.171,0
"6","ADAM22",0,-7.24504032718442,0.995,0.496,0
"7","ADAM23",0,-8.3140711908788,0.997,0.317,0
"8","ADAMTS3",0,-6.90567189912837,0.917,0.362,0
"9","ADCY1",0,-6.57064487266713,0.983,0.224,0
"10","ADCY2",0,-6.74486383160317,0.996,0.65,0
"11","ADGRB3",0,-4.65296467698806,1,0.821,0
"12","ADGRL2",0,-6.17345625894551,1,0.736,0
"13","ADGRL3",0,-6.51225350202041,1,0.764,0
"14","AGBL4",0,-5.15376858318307,1,0.862,0
"15","AHI1",0,-3.93159983814283,1,0.817,0
"16","AK5",0,-5.28922459048002,0.999,0.455,0
"17","AKAP6",0,-4.52853809766595,0.999,0.703,0
"18","ANK2",0,-4.32516419285051,1,0.748,0
"19","ANK3",0,-3.52447222864429,1,0.837,0
"20","ANKRD20A5P",0,-7.09049691986518,0.851,0.093,0
"21","ANKRD30BL",0,-5.49045661887827,0.993,0.528,0
"22","ANKRD33B",0,-6.71939014763137,0.933,0.224,0
"23","ANKS1B",0,-7.29286377722214,1,0.967,0
"24","ANO5",0,-7.10472373786797,0.971,0.159,0
"25","AP3B2",0,-6.51965406172574,0.911,0.106,0
"26","APBB1IP",0,10.2451629326182,0.351,0.992,0
"27","ARFGEF3",0,-7.04282833454894,0.996,0.354,0
"28","ARHGAP24",0,7.09907606299786,0.893,1,0
"29","ARHGAP44",0,-5.4853419139966,0.986,0.455,0
"30","ARHGEF3",0,-5.05246813004731,0.982,0.581,0
"31","ARNT2",0,-6.54534165244378,0.994,0.297,0
"32","ARPP21",0,-7.38943477791442,1,0.256,0
"33","ARRDC5",0,4.73812274114328,0.383,0.394,0
"34","ASIC2",0,-7.986408964517,1,0.793,0
"35","ATP2B2",0,-4.78282264661689,0.998,0.341,0
"36","ATP8A2",0,-5.75572642165673,1,0.724,0
"37","ATRNL1",0,-7.57846918584895,1,0.805,0
"38","B3GALT1",0,-6.91507782548929,0.998,0.732,0
"39","B3GAT1",0,-5.94487204787495,0.872,0.041,0
"40","BCL11A",0,-5.37467370487975,0.973,0.484,0
"41","BICC1",0,-5.6479571144476,0.949,0.407,0
"42","BNC2",0,7.84587717210689,0.608,0.833,0
"43","BRINP1",0,-6.79636469529982,0.994,0.52,0
"44","C10orf11",0,7.20711531404627,0.856,1,0
"45","C1orf21",0,-5.98234153979324,0.944,0.415,0
"46","C3",0,9.32379777100544,0.313,0.951,0
"47","CA10",0,-7.86108226139577,0.994,0.439,0
"48","CABP1",0,-5.42755433854493,0.996,0.134,0
"49","CACNA1B",0,-6.95101748471127,0.999,0.398,0
"50","CACNA1C",0,-6.97559998080041,1,0.585,0
"51","CACNA1E",0,-6.88797630905267,0.993,0.276,0
"52","CACNA2D1",0,-8.04724125528305,1,0.589,0
"53","CACNA2D3",0,-6.76298018615466,0.999,0.724,0
"54","CACNG2",0,-6.30616779089908,0.939,0.346,0
"55","CACNG3",0,-5.77803021684625,0.986,0.28,0
"56","CACNG8",0,-4.9002662228186,0.941,0.228,0
"57","CADM1",0,-6.25053553526051,0.983,0.561,0
