"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","FAM19A1",0,-9.73627581869376,0.643,1,0
"2","GABRB3",0,-9.48870091602118,0.371,1,0
"3","GRIN2A",0,-9.32190125879251,0.614,1,0
"4","HS6ST3",0,-10.1932934322737,0.657,1,0
"5","KCTD16",0,-10.3664056431914,0.486,1,0
"6","KHDRBS2",0,-10.2510706972679,0.586,1,0
"7","LDB2",0,-10.3597404107814,0.371,1,0
"8","LRFN5",0,-10.4977446405111,0.414,1,0
"9","LST1",0,8.31721877695858,0.571,0,0
"10","MDGA2",0,-9.1844040781646,0.743,1,0
"11","MEG3",0,-12.146916428098,0.686,1,0
"12","MIAT",0,-10.1476389104564,0.186,1,0
"13","MYT1L",0,-9.137201936385,0.457,1,0
"14","NRXN1",0,-9.61956287616889,0.857,1,0
"15","ST6GALNAC5",0,-10.2878554496493,0.414,1,0
"16","STXBP5L",0,-10.585099688688,0.8,1,0
"17","CNKSR2",2.3496740536254e-301,-9.79515547571161,0.243,1,7.96116562849359e-297
"18","KCNIP4",6.78764677769334e-294,-10.903970382714,0.914,1,2.29979048121806e-289
"19","RGS6",1.18443802837056e-293,-9.30762025820348,0.629,0.986,4.01311292772515e-289
"20","GRIA3",1.37052694735604e-293,-9.7301037934197,0.271,1,4.64361940303174e-289
"21","C1QB",1.00698757609072e-291,8.33851355532181,0.571,0,3.41187530531056e-287
"22","GABBR2",3.49101448990451e-286,-8.79384666533388,0.543,1,1.18282552946944e-281
"23","FLRT2",1.25592744067068e-278,-10.3269560758207,0.243,1,4.25533335448041e-274
"24","NELL2",4.74782705674606e-278,-9.22177522558762,0.543,1,1.6086587633667e-273
"25","CACNA1B",1.74095174796167e-276,-9.46055750253298,0.4,1,5.89869271244374e-272
"26","CHRM3",2.86513298008674e-275,-8.16080976224345,0.957,1,9.70764356312989e-271
"27","SCN2A",5.34176999819599e-273,-9.95283037487513,0.286,1,1.80989851078876e-268
"28","PAK3",3.31225520711486e-269,-6.90308099466002,0.986,1,1.12225830927466e-264
"29","KIAA1549L",1.12640605182968e-268,-8.6415751296305,0.529,1,3.81648898480931e-264
"30","LINC00996",1.91542649822471e-266,9.26098672013155,0.586,0,6.48984806128497e-262
"31","TMEM108",9.36892593834949e-266,-9.35080527630771,0.371,1,3.17437948643157e-261
"32","CSMD1",2.51915338495554e-264,-9.40352310506871,0.957,1,8.53539549890635e-260
"33","DOCK8",3.97281170904385e-263,10.4024545743233,0.986,0.371,1.34606806325824e-258
"34","TAL1",2.79112509690825e-262,8.54551613262039,0.543,0,9.45689005334453e-258
"35","CSMD3",1.78648274193401e-258,-8.99592504436311,0.714,1,6.05296082622082e-254
"36","RBFOX3",5.35860356610397e-257,-8.90068466430014,0.386,1,1.81560206026735e-252
"37","CSF2RA",2.07536945682437e-247,7.02616771436717,0.514,0,7.03176679361233e-243
"38","TENM2",4.26560132784204e-246,-9.2794378540903,0.671,1,1.44527104189944e-241
"39","TMEM132D",2.77573605975938e-244,-8.95106701539799,0.686,1,9.40474891767672e-240
"40","SH3GL2",3.57614547932084e-241,-9.30132198538056,0.3,1,1.21166961130349e-236
"41","NELL1",1.84999956453215e-240,-8.93605997476667,0.729,1,6.26816852454782e-236
"42","HLA-DPA1",1.68343390096224e-233,9.10830041841435,0.514,0,5.70381074324026e-229
"43","GRIA1",4.95224293206245e-230,-8.83365189735054,0.386,1,1.6779189502414e-225
"44","ERICH1-AS1",2.75591931887516e-228,-8.80362289841026,0.286,1,9.33760583621281e-224
"45","MLIP",1.39636546035834e-227,-9.68118461767636,0.229,1,4.73116545278614e-223
"46","AIF1",3.78518816143923e-226,8.4643415327611,0.486,0,1.28249745285884e-221
"47","CX3CR1",3.40431736489906e-223,10.9789249171561,0.929,0,1.1534508095751e-218
"48","RYR2",5.41696843128803e-222,-8.43973977081163,0.857,1,1.83537724388901e-217
"49","C10orf54",2.44739367086377e-218,7.5224414161631,0.486,0,8.29225923562064e-214
"50","RIMS2",1.23049164547252e-216,-7.95085738994724,0.914,1,4.16915179318999e-212
"51","SYT16",7.28935074939579e-215,-8.51903596779871,0.5,1,2.46977782091028e-210
"52","SHISA9",3.62092127583007e-211,-8.27461975511564,0.8,0.986,1.22684054667674e-206
"53","AK5",1.26915308983467e-209,-8.93071606875649,0.414,1,4.30014449897782e-205
"54","CA10",1.80422313814988e-209,-9.14808266737826,0.386,0.971,6.11306883667944e-205
"55","NRG3",5.22339403939311e-209,-8.77591924997586,0.857,1,1.76979036842717e-204
"56","KCNH1",7.25723882253325e-209,-7.72634740901766,0.971,1,2.45889765785072e-204
"57","NDST3",5.73624765407226e-204,-9.4399645663557,0.229,0.986,1.94355543015276e-199
"58","DGKB",3.81717703842627e-203,-9.26445302616935,0.743,1,1.29333592415959e-198
"59","ZNF385B",1.76861391711066e-202,-9.09811435108936,0.386,1,5.99241767395432e-198
"60","C1QC",5.88240965160741e-198,5.40696419874316,0.471,0,1.99307803815762e-193
"61","PPP2R2C",8.73773440048653e-197,-8.59876830024619,0.371,0.971,2.96051916957285e-192
"62","SHANK2",1.2374896427034e-196,-7.39764999091334,0.671,1,4.19286240740765e-192
"63","CBLN2",1.35351235271079e-196,-10.3462011693661,0.086,0.986,4.58597055345469e-192
"64","CSRNP3",4.89196943714828e-196,-8.69745535583136,0.429,0.986,1.65749708469458e-191
"65","CADPS",3.73677843319989e-191,-8.81937739344619,0.543,1,1.26609526873679e-186
"66","KCNIP4-IT1",4.79854051909143e-188,-8.6367239284109,0.043,0.986,1.62584149867856e-183
"67","DPP6",5.30491468900285e-188,-7.92924607785743,0.829,1,1.79741119492795e-183
"68","LPAR6",1.07770147702268e-187,10.2691769630378,0.986,0.143,3.65146814444826e-183
"69","ADAM23",2.39851878601452e-187,-8.53959337291332,0.3,1,8.12666135077439e-183
"70","MIR137HG",3.43268217499769e-187,-9.52854527344789,0.057,0.986,1.16306137453272e-182
"71","C3",1.75467323213847e-186,9.87609403649478,0.971,0.257,5.94518384513156e-182
"72","ADGRL3",4.91613586151335e-185,-8.53985155205982,0.743,1,1.66568515259795e-180
"73","LINC00599",2.57841151574326e-182,-8.82076680638189,0.071,0.986,8.73617389764131e-178
"74","DPY19L2P1",4.36046186250244e-181,-8.7348977528519,0.271,1,1.47741168825308e-176
"75","MIR124-2HG",3.19654186864188e-180,-9.28686025087207,0.129,0.986,1.08305231593324e-175
"76","PDZD2",1.80267416600181e-179,-7.87875454489715,0.929,1,6.10782060924734e-175
"77","PTPRK",4.3354031450555e-176,-9.28120770092013,0.457,0.986,1.46892129360771e-171
"78","SOBP",2.29543164759359e-175,-8.76103404475624,0.186,1,7.77738150837661e-171
"79","CHL1",1.635490381052e-174,-9.16113188298431,0.371,1,5.54136850908038e-170
"80","LRRTM4",1.86476116462219e-174,-9.53317712037968,0.8,1,6.31818377797292e-170
"81","KCNC2",3.24659255580815e-174,-8.81147223095056,0.3,1,1.10001048975892e-169
"82","GRM5",1.4051254080747e-173,-8.90180214375752,0.543,1,4.7608459076387e-169
"83","PTPRR",2.58819060877905e-173,-8.4521235486688,0.443,1,8.76930742066517e-169
"84","SYK",3.06819598285926e-172,10.1457712938149,0.9,0.186,1.03956616291238e-167
"85","KALRN",9.27544716718019e-172,-9.58700091349905,0.614,1,3.14270700918399e-167
"86","OPCML",9.63803920507837e-172,-9.20876138165341,0.686,1,3.26556044346465e-167
"87","CHD5",1.50592821849357e-170,-7.84132846549866,0.129,0.986,5.10238598989993e-166
"88","PCSK2",1.97189355663429e-168,-8.56499054646903,0.243,0.986,6.68116974858832e-164
"89","LRRC7",9.23003243317952e-168,-8.53044961593617,0.743,1,3.12731958900989e-163
"90","RALYL",1.56525906393026e-167,-8.64330418071035,0.757,1,5.30341076040851e-163
"91","GABRA2",1.66337560525835e-166,-8.83898900011994,0.186,0.986,5.63584922573635e-162
"92","SH2D5",1.69693146278705e-166,-5.76022094646651,0,0.471,5.7495431822151e-162
