"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","4632428N05Rik",0,7.51035899788081,0.939,0.002,0
"2","AF251705",0,6.84503790174663,0.903,0,0
"3","Aif1",0,8.195363930853,0.998,0.005,0
"4","Bcl2a1b",0,6.80844467923176,0.876,0.005,0
"5","Bin2",0,6.78834220438672,0.912,0.061,0
"6","Blnk",0,6.75511095063304,0.82,0.052,0
"7","C1qa",0,9.38772340788325,1,0.005,0
"8","C1qb",0,10.6279255386963,1,0.007,0
"9","C1qc",0,9.90176727862319,0.998,0.009,0
"10","Ccl3",0,9.96806888881078,0.858,0.005,0
"11","Ccl4",0,9.93361605335394,0.908,0.014,0
"12","Cd14",0,7.89371302274456,0.809,0.005,0
"13","Cd37",0,5.85764482011944,0.818,0,0
"14","Cd53",0,7.59933073214502,0.935,0.02,0
"15","Cd86",0,7.09349864818495,0.759,0.025,0
"16","Cfh",0,6.7547759463899,0.86,0.029,0
"17","Crybb1",0,7.234061212059,0.986,0.002,0
"18","Csf1r",0,10.0760327184957,0.993,0.014,0
"19","Cst3",0,4.62912423830055,1,0.971,0
"20","Ctss",0,10.0548488262636,1,0.043,0
"21","Cx3cr1",0,8.89462442313129,0.995,0.083,0
"22","Cxcl2",0,6.80049185671323,0.347,0,0
"23","Cyba",0,6.61042548151241,0.982,0.027,0
"24","Cyth4",0,6.53131120338606,0.881,0,0
"25","Emr1",0,6.23593396680068,0.809,0.128,0
"26","F11r",0,6.2701482155639,0.901,0.052,0
"27","Fcer1g",0,8.63381866706291,1,0.011,0
"28","Fcgr3",0,8.15297415354505,0.984,0.025,0
"29","Fcrls",0,9.11550818152448,0.991,0.005,0
"30","Ftl1",0,3.44629210713794,1,0.975,0
"31","Gngt2",0,6.34990668432214,0.928,0.009,0
"32","Gpr34",0,7.65547531571272,0.926,0.011,0
"33","Grap",0,5.7327731165245,0.757,0.115,0
"34","Hexb",0,4.37331709467552,1,0.991,0
"35","Hpgd",0,6.35406036195927,0.777,0.005,0
"36","Hpgds",0,7.11268208225183,0.89,0.02,0
"37","Il1a",0,9.38379441720781,0.845,0.016,0
"38","Inpp5d",0,6.64979632220526,0.851,0.047,0
"39","Irf8",0,6.13870216927736,0.795,0.014,0
"40","Itgam",0,6.93891180135905,0.939,0.117,0
"41","Laptm5",0,9.20402826333661,0.998,0.005,0
"42","Ltc4s",0,5.63812603403815,0.881,0,0
"43","Ly86",0,7.77363521885286,0.995,0.016,0
"44","Mpeg1",0,5.65147544837725,0.836,0.009,0
"45","Ncf1",0,6.09227046852099,0.806,0.043,0
"46","Nckap1l",0,6.49433347647798,0.813,0.018,0
"47","Olfml3",0,7.61609088219351,0.971,0.011,0
"48","P2ry12",0,9.11688872136605,0.995,0.02,0
"49","P2ry13",0,7.11837993112138,0.804,0,0
"50","Pld4",0,6.98989320610014,0.908,0.014,0
"51","Rnase4",0,6.68686587434447,0.959,0.025,0
"52","Selplg",0,9.01147086279285,1,0.079,0
"53","Siglech",0,8.46755986090976,0.993,0.005,0
"54","Slco2b1",0,6.63791314756036,0.836,0.011,0
"55","Spi1",0,7.02803554310981,0.959,0.135,0
"56","Tmem119",0,8.06589023274464,0.962,0.009,0
"57","Tnf",0,8.02810517443109,0.694,0,0
"58","Trem2",0,8.00999526787871,0.991,0.002,0
"59","Tyrobp",0,9.42140271559851,1,0.009,0
"60","Unc93b1",0,7.0878982456469,0.966,0.043,0
"61","Vav1",0,6.35824481232384,0.779,0.016,0
"62","Lyn",7.85067787216915e-299,5.70195277023666,0.93,0.261,3.15699309273538e-294
"63","Fgd2",4.1215621168447e-298,5.55650958308321,0.757,0.2,1.65740377404676e-293
"64","Tgfb1",8.71986887723715e-295,4.4606825465236,0.881,0.034,3.50652087160337e-290
"65","Lgals9",2.7752445711183e-293,5.86755331648946,0.847,0.072,1.1160090993838e-288
"66","Csf3r",1.87769280910296e-288,6.14525917566435,0.714,0.032,7.55076609324572e-284
"67","Msn",6.92617368067073e-287,6.37738478432289,0.896,0.059,2.78522222220812e-282
"68","Cd33",1.33177568058268e-286,6.27919581524131,0.703,0.002,5.35546954432712e-282
"69","Hmha1",6.40231373012292e-286,5.90938867742786,0.721,0.018,2.57456242029433e-281
"70","Gpsm3",1.12043589436164e-285,4.68597344435387,0.82,0.02,4.50560886199646e-281
"71","Abi3",1.91787029055181e-283,5.49439736010128,0.779,0.036,7.712331799396e-279
"72","Ppp1r18",5.77364321982664e-282,4.7635662953711,0.968,0.464,2.32175514798889e-277
"73","Ccl9",4.15579853966192e-277,7.30119231081941,0.691,0.009,1.67117126675425e-272
"74","Il10ra",3.45295877027554e-269,6.21160333506635,0.707,0,1.3885383102909e-264
"75","Ctsh",6.65432004945343e-269,5.96633015178073,0.896,0.081,2.67590172148671e-264
"76","Ctsd",3.49143884169003e-264,3.71542117470734,1,0.908,1.40401230140881e-259
"77","Psmb8",1.70015217940771e-259,5.53770802714062,0.788,0.007,6.83682195905221e-255
"78","Srgn",7.70561225459203e-255,5.62055910116436,0.831,0.3,3.09865785593909e-250
"79","Ccl12",1.63443833681798e-252,6.13564602753589,0.685,0.002,6.57256688384616e-248
"80","Rac2",5.60047197023324e-252,5.55760835019513,0.775,0.007,2.25211779338989e-247
"81","Ccl6",9.33275364231966e-250,5.78304424415859,0.723,0.005,3.752980222186e-245
"82","Lcp2",4.21598290168395e-247,6.05117771457888,0.689,0.009,1.69537320425417e-242
"83","Tmsb4x",2.85126889853259e-246,2.99168542935514,1,0.991,1.14658076216691e-241
"84","Sparc",4.53572053156676e-246,6.63545020338404,0.998,0.167,1.82394929735894e-241
"85","Tbxas1",1.17690625023229e-241,5.64210640782476,0.68,0.038,4.73269310405911e-237
"86","Gmfg",1.07123568985067e-239,4.61719900565337,0.782,0.041,4.30776007959652e-235
"87","Fyb",3.98563917197953e-237,5.74032635135988,0.845,0.054,1.60274508022813e-232
"88","Syngr2",4.18821722793143e-231,5.62243720613982,0.752,0.014,1.68420779386806e-226
"89","Ucp2",6.64389670565376e-227,5.99736820068162,0.977,0.056,2.67171018224454e-222
"90","Anxa3",1.52072114349521e-226,6.05700834102343,0.874,0.038,6.11527593433729e-222
"91","Irf5",1.64081325343867e-222,5.84656638086787,0.894,0.11,6.59820233605294e-218
"92","Cd300a",3.60932225851372e-220,5.59958081414468,0.673,0.007,1.45141675981612e-215
"93","Itgb2",2.98935201196728e-217,5.8985216208518,0.718,0.02,1.2021081245724e-212
"94","Arhgdib",2.91184404715157e-215,5.85415873389216,0.964,0.043,1.17093984668106e-210
"95","Cd84",2.6930014386961e-214,5.81365708307976,0.635,0.045,1.08293666854286e-209
"96","Ccrl2",1.81560751930853e-213,6.41340081177303,0.653,0.005,7.30110251739538e-209
