gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Ccl9,4.16E-277,7.301192311,0.691,0.009,1.67E-272,UP
Ccl2,5.40E-198,6.880454371,0.595,0.005,2.17E-193,UP
C3ar1,7.40E-206,6.64369706,0.77,0.052,2.98E-201,UP
Sparc,4.54E-246,6.635450203,0.998,0.167,1.82E-241,UP
Cd83,3.65E-124,6.563295874,0.858,0.068,1.47E-119,UP
Pik3ap1,1.28E-205,6.475121601,0.761,0.07,5.15E-201,UP
Ccrl2,1.82E-213,6.413400812,0.653,0.005,7.30E-209,DIFF
Msn,6.93E-287,6.377384784,0.896,0.059,2.79E-282,UP
Tlr2,4.80E-184,6.34828953,0.574,0,1.93E-179,UP
Cd33,1.33E-286,6.279195815,0.703,0.002,5.36E-282,UP
Il10ra,3.45E-269,6.211603335,0.707,0,1.39E-264,UP
Ccl7,1.21E-71,6.184088954,0.363,0.005,4.86E-67,UP
Plek,4.20E-170,6.172820876,0.939,0.149,1.69E-165,UP
Gpr84,1.06E-154,6.163571818,0.653,0.036,4.28E-150,UP
Csf3r,1.88E-288,6.145259176,0.714,0.032,7.55E-284,UP
Ccl12,1.63E-252,6.135646028,0.685,0.002,6.57E-248,UP
Icam1,2.05E-203,6.093866581,0.644,0.045,8.25E-199,UP
Anxa3,1.52E-226,6.057008341,0.874,0.038,6.12E-222,UP
Lcp2,4.22E-247,6.051177715,0.689,0.009,1.70E-242,UP
Ucp2,6.64E-227,5.997368201,0.977,0.056,2.67E-222,UP
Cd68,3.70E-207,5.973874699,0.964,0.099,1.49E-202,UP
Ctsh,6.65E-269,5.966330152,0.896,0.081,2.68E-264,UP
Il1b,3.85E-57,5.917248682,0.306,0.011,1.55E-52,DIFF
Hmha1,6.40E-286,5.909388677,0.721,0.018,2.57E-281,UP
Itgb2,2.99E-217,5.898521621,0.718,0.02,1.20E-212,UP
Lgals9,2.78E-293,5.867553316,0.847,0.072,1.12E-288,UP
Arhgdib,2.91E-215,5.854158734,0.964,0.043,1.17E-210,UP
Irf5,1.64E-222,5.846566381,0.894,0.11,6.60E-218,UP
Cd84,2.69E-214,5.813657083,0.635,0.045,1.08E-209,UP
Ccl6,9.33E-250,5.783044244,0.723,0.005,3.75E-245,UP
Gpr183,1.72E-176,5.771482182,0.592,0.007,6.91E-172,UP
Fyb,3.99E-237,5.740326351,0.845,0.054,1.60E-232,UP
Sepp1,6.49E-182,5.720371253,0.993,0.122,2.61E-177,UP
Trf,1.17E-183,5.705829935,0.982,0.146,4.69E-179,UP
Lyn,7.85E-299,5.70195277,0.93,0.261,3.16E-294,UP
Slc15a3,4.17E-163,5.657761333,0.7,0.007,1.68E-158,UP
Tbxas1,1.18E-241,5.642106408,0.68,0.038,4.73E-237,UP
Syngr2,4.19E-231,5.622437206,0.752,0.014,1.68E-226,UP
Srgn,7.71E-255,5.620559101,0.831,0.3,3.10E-250,UP
Cd300a,3.61E-220,5.599580814,0.673,0.007,1.45E-215,UP
Plaur,4.86E-129,5.5576885,0.559,0.086,1.95E-124,DIFF
Rac2,5.60E-252,5.55760835,0.775,0.007,2.25E-247,UP
Fgd2,4.12E-298,5.556509583,0.757,0.2,1.66E-293,UP
Txnip,7.76E-92,5.552394638,0.559,0.009,3.12E-87,UP
Parvg,2.07E-194,5.551843226,0.642,0.011,8.31E-190,UP
Psmb8,1.70E-259,5.537708027,0.788,0.007,6.84E-255,UP
Cxcl16,7.30E-115,5.522889737,0.608,0.038,2.94E-110,UP
Rab20,2.47E-170,5.522448873,0.583,0.014,9.93E-166,UP
Ptprc,6.67E-147,5.502615641,0.7,0.106,2.68E-142,UP
Abi3,1.92E-283,5.49439736,0.779,0.036,7.71E-279,UP
Tlr7,6.18E-181,5.483364938,0.608,0.007,2.49E-176,UP
Tmem173,3.33E-172,5.481609406,0.586,0.005,1.34E-167,UP
Ctsc,3.35E-120,5.452851912,0.759,0.092,1.35E-115,UP
Dock2,4.14E-161,5.447835751,0.707,0.065,1.66E-156,UP
Lyz2,1.05E-102,5.427961413,0.579,0.016,4.22E-98,UP
Casp4,2.46E-130,5.422942697,0.509,0.018,9.88E-126,UP
Slc11a1,4.46E-161,5.413051293,0.59,0.016,1.80E-156,UP
Pik3r5,8.33E-159,5.410777989,0.57,0.061,3.35E-154,UP
Prkcd,2.66E-176,5.374424666,0.736,0.029,1.07E-171,UP
Runx1,2.31E-133,5.355473238,0.583,0.05,9.29E-129,UP
