"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","1110001J03Rik",0,-3.43206730696113,0.174,0.993,0
"2","1500011B03Rik",0,-5.536598343376,0.157,0.998,0
"3","1700112E06Rik",0,8.16025742680035,0.899,0.51,0
"4","2010107G23Rik",0,-6.797534395503,0.039,0.916,0
"5","2210016L21Rik",0,-4.22900513007811,0.163,0.994,0
"6","2900011O08Rik",0,-7.1223135814106,0.213,0.995,0
"7","2900055J20Rik",0,-7.55680023429986,0.056,0.922,0
"8","5330434G04Rik",0,-6.31973421425684,0.028,0.92,0
"9","6330403K07Rik",0,-8.72776208987415,0.084,0.94,0
"10","6430548M08Rik",0,-5.80814840826165,0.112,0.971,0
"11","9330159F19Rik",0,-7.09067319030921,0.067,0.96,0
"12","A230006K03Rik",0,-7.26265745632021,0.039,0.872,0
"13","A230057D06Rik",0,-7.52373956117242,0.112,0.976,0
"14","A330076H08Rik",0,-8.17727127816101,0.017,0.975,0
"15","A530058N18Rik",0,-7.42220612305821,0.017,0.903,0
"16","A830082K12Rik",0,-6.27893854779606,0.045,0.878,0
"17","A930011O12Rik",0,-7.03345270649318,0.034,0.982,0
"18","A930017M01Rik",0,-4.38708975116842,0,0.268,0
"19","AI593442",0,-7.48330433085343,0.045,0.929,0
"20","Abat",0,-6.12450574889484,0.236,0.974,0
"21","Abhd8",0,-3.99517432323249,0.09,0.969,0
"22","Ache",0,-6.78181368483934,0.062,0.901,0
"23","Acot7",0,-6.28818297296113,0.23,0.999,0
"24","Actl6b",0,-7.35629062319701,0.039,0.974,0
"25","Actr3b",0,-6.89071224322397,0.084,0.844,0
"26","Acyp2",0,-4.67226191244615,0.213,0.96,0
"27","Adam22",0,-3.91589480145462,0.421,0.992,0
"28","Adcyap1r1",0,-7.01163372158665,0.107,0.907,0
"29","Ahi1",0,-4.86377877947754,0.157,1,0
"30","Akap6",0,-6.873908213331,0.59,0.996,0
"31","Aldoa",0,-3.02469469018895,0.927,1,0
"32","Alg2",0,-6.29306613665237,0.101,0.974,0
"33","Amph",0,-7.98039801215781,0.096,0.984,0
"34","Ank3",0,-7.92191880482008,0.32,1,0
"35","Ankrd45",0,-7.07666789324582,0.039,0.819,0
"36","Anks1b",0,-6.42592022587993,0.725,1,0
"37","Ap3b2",0,-7.47086297695546,0.045,0.947,0
"38","Apba2",0,-7.07157547123423,0.219,0.959,0
"39","Apbb1",0,-6.97537171200081,0.146,0.987,0
"40","Aplp1",0,-8.49983704353868,0.337,1,0
"41","Apoo",0,-3.95837964338778,0.191,0.976,0
"42","Araf",0,-3.09940215279221,0.528,0.999,0
"43","Arhgap25",0,7.09967235821596,0.567,0.197,0
"44","Arhgdig",0,-6.10449096565019,0.045,0.961,0
"45","Arhgef9",0,-6.6241849214993,0.135,0.965,0
"46","Armcx1",0,-8.39528679756328,0.051,0.962,0
"47","Arnt2",0,-5.94936326994402,0.101,0.961,0
"48","Arx",0,-7.01425555300335,0.039,0.876,0
"49","Arxes1",0,-6.16872295620228,0.011,0.958,0
"50","Arxes2",0,-6.66009340051786,0.051,0.983,0
"51","Asns",0,-8.39830026188718,0.09,0.982,0
"52","Astn1",0,-7.08273709421388,0.118,0.958,0
"53","Atcay",0,-7.86515545536879,0.073,0.991,0
"54","Atp1a3",0,-9.22432354140149,0.27,1,0
"55","Atp1b1",0,-11.2969762034143,0.343,1,0
"56","Atp2b2",0,-3.18346310782877,0.472,0.999,0
"57","Atp5a1",0,-2.55492307502548,0.758,1,0
"58","Atp5b",0,-2.82642367444438,0.876,1,0
"59","Atp5f1",0,-2.21201222084037,0.736,1,0
"60","Atp5g1",0,-2.33878827164157,0.708,1,0
"61","Atp5g3",0,-2.71117773061249,0.843,1,0
"62","Atp5h",0,-2.00375780761314,0.843,1,0
"63","Atp5k",0,-2.22014007190501,0.674,1,0
"64","Atp5o",0,-2.88520551663926,0.522,1,0
"65","Atp6v0c",0,-2.45621605742567,0.927,1,0
"66","Atp6v0e2",0,-9.1571265806925,0.152,1,0
"67","Atp6v1b2",0,-3.20548319491238,0.579,0.999,0
"68","Atp6v1c1",0,-2.29747518634101,0.596,0.999,0
"69","Atp6v1d",0,-2.46947053768957,0.68,0.999,0
"70","Atp6v1e1",0,-2.60320063776859,0.781,1,0
"71","Atp6v1g2",0,-7.67527115657046,0.416,1,0
"72","Atp9a",0,-7.22373216953611,0.354,0.979,0
"73","Atxn10",0,-2.35162579695976,0.551,0.999,0
"74","B230209E15Rik",0,-7.28229919824605,0.079,0.973,0
