"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","1810011H11Rik",0,7.67302117687894,0.32,0,0
"2","2010107G23Rik",0,-6.73740970691067,0.039,0.918,0
"3","2900011O08Rik",0,-7.15661681112679,0.213,0.993,0
"4","2900055J20Rik",0,-7.61241941953494,0.056,0.927,0
"5","4632428N05Rik",0,9.86212714030491,0.927,0.004,0
"6","6330403K07Rik",0,-8.80557956560841,0.084,0.936,0
"7","9330159F19Rik",0,-7.03813358409072,0.067,0.96,0
"8","A230006K03Rik",0,-7.27729854358191,0.039,0.88,0
"9","A230057D06Rik",0,-7.55748297319333,0.112,0.96,0
"10","A330076H08Rik",0,-8.1013871171412,0.017,0.976,0
"11","A530058N18Rik",0,-7.3298380937694,0.017,0.909,0
"12","A930011O12Rik",0,-7.06269523898819,0.034,0.969,0
"13","A930017M01Rik",0,-4.63730110280719,0,0.269,0
"14","AI593442",0,-7.47295222812812,0.045,0.929,0
"15","AI854517",0,-6.39846928242282,0.073,0.862,0
"16","AW551984",0,-5.65331484268871,0,0.242,0
"17","Abat",0,-6.10682199441372,0.236,0.982,0
"18","Acot7",0,-6.27048395520144,0.23,1,0
"19","Actl6b",0,-7.41003135249136,0.039,0.971,0
"20","Actr3b",0,-6.91391895801387,0.084,0.853,0
"21","Adcyap1r1",0,-7.00964003940693,0.107,0.927,0
"22","Akap6",0,-6.80715590717055,0.59,0.996,0
"23","Alg2",0,-6.31073594156952,0.101,0.976,0
"24","Amph",0,-8.00075100778699,0.096,0.984,0
"25","Ank3",0,-7.83649606163544,0.32,1,0
"26","Ankrd45",0,-7.2098263736822,0.039,0.858,0
"27","Anks1b",0,-6.43531685333328,0.725,1,0
"28","Ap3b2",0,-7.55000358175177,0.045,0.947,0
"29","Apba2",0,-7.13014466361855,0.219,0.971,0
"30","Apbb1",0,-7.05802543903657,0.146,0.987,0
"31","Aplp1",0,-8.59893292824322,0.337,1,0
"32","Armcx1",0,-8.44389045827712,0.051,0.951,0
"33","Arx",0,-7.10646737679831,0.039,0.876,0
"34","Arxes1",0,-6.13449803349452,0.011,0.958,0
"35","Arxes2",0,-6.63759552661217,0.051,0.993,0
"36","Asns",0,-8.41198534154227,0.09,0.984,0
"37","Astn1",0,-7.11632781421408,0.118,0.964,0
"38","Atcay",0,-7.94486690314004,0.073,0.984,0
"39","Atp1a3",0,-9.31838102921403,0.27,1,0
"40","Atp1b1",0,-11.2905878975136,0.343,1,0
"41","Atp6v0e2",0,-9.20943922612423,0.152,1,0
"42","Atp6v1g2",0,-7.64265255686562,0.416,1,0
"43","Atp9a",0,-7.37382455664089,0.354,0.973,0
"44","B230209E15Rik",0,-7.23914743926593,0.079,0.98,0
"45","B230217C12Rik",0,-5.50742986967564,0.045,0.98,0
"46","B3galt1",0,-7.11377989486702,0.275,0.889,0
"47","B630019K06Rik",0,-6.56717208237337,0.011,0.856,0
"48","BC030500",0,-6.67943741571661,0.017,0.84,0
"49","Bai3",0,-6.30828176582204,0.938,0.996,0
"50","Bex1",0,-9.12462132558364,0.067,0.996,0
"51","Bex2",0,-9.88846328573728,0.197,1,0
"52","Bex4",0,-6.82761978067274,0.034,0.982,0
