ephys_prop,cell_class,estimate,std.error,statistic,df,p.value
Input resistance,Glutamatergic,-0.6154940950112852,0.2889783568166384,-2.1298968607598057,374.689322679011,0.033831267788479835
Input resistance,GABAergic,-0.4089853995444734,0.2077380774810991,-1.9687551001894905,643.9141806662583,0.04940968544171654
Rheobase,Glutamatergic,-0.1540578986640031,0.3493597863093817,-0.44097204286578773,376.27630205780065,0.6594864921219841
Rheobase,GABAergic,0.21583507529450588,0.23801052732408132,0.9068299529483385,635.6735529188644,0.36484034358199235
AP width,Glutamatergic,-0.5312060956285036,0.3763101145547297,-1.41161790524035,374.13338455039985,0.15889359430015246
AP width,GABAergic,-0.0028321093232446613,0.15652289069191203,-0.01809389866699545,637.7114663719391,0.9855696047582109
AP thresh,Glutamatergic,-0.5981221105195194,0.4024240457602085,-1.4862981395399046,383.36977120350866,0.13802217862040114
AP thresh,GABAergic,0.4151089124704177,0.2821307378244218,1.4713352953720065,627.8247039650851,0.14170149908823912
AP trough,Glutamatergic,-0.04900698226737129,0.37416784403023867,-0.13097593245722836,368.4694298043431,0.8958658261380339
AP trough,GABAergic,0.4522465832843673,0.2648287424943135,1.7076944859717336,634.0136559855133,0.08818258695528032
RMP,Glutamatergic,0.3403103298348684,0.37113225458251925,0.9169516409121543,372.5815687480861,0.35976112602918675
RMP,GABAergic,0.028082834159100265,0.2937105144723762,0.09561398988234547,648.0091586714688,0.9238567136944971
Sag ratio,Glutamatergic,0.9961095115482737,0.3121137247197715,3.191495383429939,369.8386471532326,0.0015364679559404478
Sag ratio,GABAergic,-0.06335549782171976,0.25644209892208125,-0.2470557606883807,642.0564154092597,0.8049440454550522
