"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"1","20171204_sample_2","Glutamatergic","L5.PT_on",148.340840708964,0.684279448436252,NA,0.435530945978967,-Inf,0.102230715772678,NA,0.224145662263766,0.0685761163007027,0.063023775523463,NA,NA,0.0598779425626659,TRUE
"2","20171204_sample_4","Glutamatergic","L5.IT_on",166.404147578485,0.767603431248648,NA,0.527958825930557,-Inf,0.202981711318251,NA,0.232915109423875,0.0645922471632736,0.219160282534142,NA,NA,0.0898161711408883,TRUE
"3","20171204_sample_5","Glutamatergic","L5.IT_on",238.263351371358,1.09908177599477,NA,0.560106664049737,Inf,0.128621912099708,NA,0.18856143800952,0.0706932840408667,0.133819571465969,NA,NA,0.0653433540438676,TRUE
"4","20171204_sample_6","Glutamatergic","L5.PT_on",162.462875904199,0.749422792696728,NA,0.515809143609141,-Inf,0.136038424775837,NA,0.171840041858141,0.0590931161573026,0.0900460870949406,NA,NA,0.0662440406415063,TRUE
"5","20171207_sample_1","Glutamatergic","L5.PT_on",177.221166633291,0.817501111463832,NA,0.447587707665666,-Inf,0.238021068878466,NA,0.47825199145087,0.314488688946837,0.198450655337392,NA,NA,0.176706824569769,TRUE
"6","20171207_sample_2","Glutamatergic","L5.PT_on",202.614310229959,0.934636798516335,NA,0.434615932026181,-Inf,0.405014622768793,NA,0.367682450560919,0.364791997252945,0.266217863201916,NA,NA,0.15155558017194,TRUE
"7","20171207_sample_6","Glutamatergic","L5.IT_on",202.589865953327,0.93452403984481,NA,0.452703399677466,-Inf,0.175495947841375,NA,0.211273196466431,0.445890840960804,0.148849326474973,NA,NA,0.109943588117151,TRUE
"8","20171207_sample_7","Glutamatergic","L5.IT_on",233.870220899668,1.0788167641362,NA,0.568206362500749,Inf,0.291409993992534,NA,0.416191219727315,0.146669922656743,0.236915900609261,NA,NA,0.0929134942707091,TRUE
"9","20171219_sample_1","Glutamatergic","L5.IT_on",198.76298835374,0.916871088165672,NA,0.45268331970764,-Inf,0.110285761894563,NA,0.149498651625448,0.160420322711451,0.0501561852261258,NA,NA,0.0354901589868108,TRUE
"10","20171219_sample_2","Glutamatergic","L5.IT_on",257.220081068342,1.18652701682806,NA,0.588213849072049,Inf,0.165221223442924,NA,0.186172754323058,0.179831470873024,0.114923158493408,NA,NA,0.0660327533951037,TRUE
"11","20171219_sample_3","Glutamatergic","L4_on",197.935219162904,0.913052682913072,NA,0.442652607460663,-Inf,0.283623384771741,NA,0.208145081720766,0.210053034026489,0.0853777815887976,NA,NA,0.124793888929856,TRUE
"12","20171219_sample_4","Glutamatergic","L5.PT_on",229.620405680545,1.05921284925883,NA,0.595656409425697,Inf,0.0924271640521001,NA,0.181357076202274,0.0740048217271503,0.0937134504795977,NA,NA,0.0360053054060029,TRUE
"13","20171219_sample_6","Glutamatergic","L5.PT_on",165.494771232487,0.763408581458891,NA,0.468726993375715,-Inf,0.117346678618546,NA,0.293253021578269,0.131665354871408,0.0921110454646483,NA,NA,0.106848365897461,TRUE
"14","20171219_sample_7","Glutamatergic","L5.IT_on",262.47338064994,1.21075989108565,NA,0.475302893160148,Inf,0.15386591745564,NA,0.0839749746273367,0.337939415925181,0.098063576546904,NA,NA,0.0754600143337802,TRUE
