"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"1","20200403_sample_1","GABAergic","Sst_on",166.188778511724,0.774267550834944,NA,0.35523156625777,-Inf,0.0584887038642682,NA,-0.058558387682482,0.171194722050111,0.0163271139107099,NA,NA,-0.0148752843187588,TRUE
"8","20200403_sample_2","GABAergic","Sst_on",219.559740193658,1.02292094462748,NA,0.526014751886955,Inf,-0.0222944230846319,NA,0.242855843375872,0.00302037731338843,-0.0164776039155231,NA,NA,-0.025610492858843,TRUE
"9","20200403_sample_3","GABAergic","Sst_on",186.602301033313,0.869373419162806,NA,0.478967873911787,-Inf,0.0069339757284742,NA,0.071468860225687,0.0166856964519835,0.0099825980238864,NA,NA,-0.016372715712656,TRUE
"10","20200403_sample_4","GABAergic","Sst_on",189.552824004865,0.883119799726671,NA,0.321595208208629,-Inf,0.119417238604772,NA,-0.0571877401113301,0.404549749020263,0.162034571981365,NA,NA,0.0622641367135249,TRUE
"11","20200403_sample_5","GABAergic","Sst_on",200.102821424919,0.932271858830129,NA,0.401135120355795,-Inf,0.0773479901117642,NA,0.162339407361375,0.147619314783316,-0.00466588045489654,NA,NA,0.00607508509545143,TRUE
"12","20200403_sample_6","GABAergic","Sst_on",187.508132935474,0.873593657464305,NA,0.408289062608626,-Inf,0.177592169711043,NA,0.0213188488201617,0.0337945835802806,0.0393496591517486,NA,NA,-0.00887240535830876,TRUE
"13","20200403_sample_7","GABAergic","Sst_on",187.513167196679,0.873617111906464,NA,0.410840110086193,-Inf,0.10857911931353,NA,0.0924060971611399,0.142781138540898,0.0674965403532003,NA,NA,-0.00616155746737758,TRUE
"14","20200403_sample_8","GABAergic","Sst_on",223.357840531636,1.04061615770292,NA,0.505546810178601,Inf,0.0218859980475265,NA,0.0851506072812857,0.127978757640561,0.0236128200583016,NA,NA,-0.0183281990725553,TRUE
"15","20200403_sample_9","GABAergic","Sst_on",200.566540183644,0.93443230787374,NA,0.472360898775199,-Inf,0.0371563948942541,NA,-0.0344425960162236,0.00302037731338843,0.209721343273222,NA,NA,-0.0171705373122966,TRUE
"2","20200403_sample_10","GABAergic","Sst_on",177.203273933581,0.825583689447526,NA,0.409255663122137,-Inf,0.0270692502427853,NA,0.0779238877820679,0.0178531882554956,0.0136174805553314,NA,NA,0.0047200458337034,TRUE
"3","20200403_sample_11","GABAergic","Sst_on",205.976452387068,0.95963689454613,NA,0.416395897351686,-Inf,0.351949792283595,NA,-0.0732798906013073,0.0233917821059888,0.0180710272876156,NA,NA,0.023596564167895,TRUE
"4","20200403_sample_12","GABAergic","Sst_on",175.64207985106,0.818310142283413,NA,0.363717122555408,-Inf,0.0702658904515985,NA,0.0179598154660379,0.084395059839025,0.0551227044465689,NA,NA,-0.0238604035340756,TRUE
"5","20200403_sample_13","GABAergic","Sst_on",201.119508816029,0.937008568873548,NA,0.477434656460271,-Inf,0.0159321005761792,NA,0.099470747064291,0.0207712663451606,0.034056802722947,NA,NA,-0.0279893213643242,TRUE
"6","20200403_sample_14","GABAergic","Sst_on",169.777040312382,0.790985133700826,NA,0.386172579818289,-Inf,-0.0330354263876764,NA,-0.0470568307999176,0.00559068764824011,0.015060668083341,NA,NA,-0.0245205151940536,TRUE
"7","20200403_sample_16","GABAergic","Sst_on",217.238508906139,1.0121064114201,NA,0.448289227082451,Inf,0.0454019911548507,NA,0.0751436522260953,0.0178302169732673,-0.0156259342723574,NA,NA,0.00753307154625683,TRUE
"16","20200406_sample_1","GABAergic","Sst_on",203.320657354288,0.947263640864594,NA,0.511221247153456,-Inf,0.0316391467611238,NA,0.152972592421464,0.0491009964933178,0.00558419594931722,NA,NA,0.00674805459145617,TRUE
"25","20200406_sample_2","GABAergic","Sst_on",205.242494982843,0.956217413358076,NA,0.45970777329837,-Inf,0.0894079785090349,NA,0.257678608678671,0.180008286369966,0.10649040438409,NA,NA,0.0506140312276932,TRUE
"35","20200406_sample_3","GABAergic","Sst_on",196.563390176627,0.915781775754094,NA,0.509744601402687,-Inf,0.0534636442571009,NA,0.13322513335314,0.0287854617053382,0.0602071425395436,NA,NA,0.0251431537574189,TRUE
"39","20200406_sample_4","Glutamatergic","L5.IT_on",235.855881754102,1.08797639211027,NA,0.575110223128154,0.139892747725021,0.105036714396814,NA,Inf,0.0393545143880131,0.0345875101160652,NA,NA,0.0100449838960733,TRUE
"40","20200406_sample_5","GABAergic","Sst_on",208.929485307411,0.973394968871273,NA,0.466938981313434,-Inf,0.010584681727516,NA,0.179412209238409,0.0593097272647694,0.0660095387768974,NA,NA,-0.0279893213643242,TRUE
